path	vi	ko
destinations.json::[21].quizBank[1].explain	Đình trước đây thờ bà Đại Càn và các vị thần sông nước, về sau kết hợp thờ các vị tiền hiền và hậu hiền của làng Cẩm Phô. Trong đình là những hoành phi, liễn đối thể hiện đạo lý “uống nước nhớ nguồn” như “Ẩm hà tư nguyên” (phiên bản chữ Hán của “uống nước nhớ nguồn”) hay “Quang tiền dụ hậu” mang nghĩa: rạng rỡ đời trước, sung túc đời sau.	이 회관은 예전에 다이 껀 여신과 물의 신들을 모셨고, 뒤에 껌포 마을의 선현과 후현을 함께 모시게 되었습니다. 안에는 '근본을 잊지 않는다'는 도리를 담은 편액과 대련이 있습니다. '음하사원(飮河思源)' — 강물을 마시며 그 근원을 생각한다 — 이나 '광전유후(光前裕後)' — 앞 세대를 빛나게 하고 뒷 세대를 넉넉하게 한다 — 같은 글귀입니다.
destinations.json::[21].short	Kết tinh của các giá trị văn hoá Việt – sự cởi mở và chan hoà khiến cho cảng thị phồn vinh.	베트남 문화 가치가 응결된 곳 — 이 항구를 번영하게 한 열림과 어울림.
destinations.json::[21].highlights[0]	Các liễn đối truyền tải chiều sâu văn hoá Việt	베트남 문화의 깊이를 전하는 대련들
destinations.json::[21].highlights[1]	Các con giống trang trí trên phần mái	지붕을 장식한 영물(靈物)들
destinations.json::[22].name	Tụy Tiên Đường Minh Hương	취선당 명향 (萃先堂 明鄉)
destinations.json::[22].description	Hai chữ Minh Hương (明香) vốn có nghĩa giữ gìn hương hỏa nhà Minh, sau đổi thành 明鄉 để chỉ làng của những người gốc nhà Minh. Tụy Tiên Đường là một di tích tiêu biểu của cộng đồng Minh Hương	명향(明香)이라는 두 글자는 본래 명(明)나라의 향불을 지킨다는 뜻이었고, 뒤에 명향(明鄉)으로 바뀌어 명나라 후손들의 마을을 가리켰습니다. 취선당은 그 명향 공동체의 대표적인 유적입니다.
destinations.json::[22].quizBank[0].question	Con hạc này đang đứng trên lưng con vật nào?	이 학은 어떤 동물의 등에 서 있나요?
destinations.json::[22].quizBank[0].options[0]	Cá	물고기
destinations.json::[22].quizBank[0].options[1]	Rùa	거북
destinations.json::[22].quizBank[0].options[2]	Cua	게
destinations.json::[22].quizBank[0].explain	Rùa đội hạc là một biểu tượng văn hóa và tâm linh quen thuộc trong các ngôi đình, chùa và trên bàn thờ gia tiên của người Việt. Nhiều di tích của người Minh Hương có biểu tượng này từ xưa, bởi lẽ người Minh Hương từ cộng đồng người Hoa di trú đã hội nhập vào xã hội và văn hoá Việt Nam và trở thành những người Việt thực thụ.	거북이 학을 받치는 모습은 베트남의 마을회관과 절, 그리고 집안 조상 제단에서 낯익은 문화적·정신적 상징입니다. 명향 사람들의 여러 유적에도 예부터 이 상징이 있습니다. 이주한 화교 공동체에서 나온 명향 사람들이 베트남 사회와 문화에 들어와 진짜 베트남 사람이 되었기 때문입니다.
destinations.json::[22].quizBank[1].question	Con vật này đang mang gì trên lưng?	이 동물은 등에 무엇을 지고 있나요?
destinations.json::[22].quizBank[1].options[0]	Những cuộn dây	여러 개의 두루마리 끈
destinations.json::[22].quizBank[1].options[1]	Thuốc thang	약재
destinations.json::[22].quizBank[1].options[2]	Những cuốn thư	두루마리 책
destinations.json::[22].quizBank[1].explain	Hình trên cửa là một cách điệu của hình tượng Long mã Hà đồ. Truyền thuyết kể rằng, Long Mã xuất hiện trên sông Hoàng Hà, dưới thời Phục Hy, mình xanh, vằn đỏ, trên lưng có mang bức Hà đồ, hay Mã đồ, là sách trời ban cho vua để trị nước.	문 위의 그림은 용마하도(龍馬河圖)를 도안화한 것입니다. 전설에 따르면 복희(伏羲) 때 황하에 용마가 나타났는데, 몸은 푸르고 붉은 무늬가 있었으며, 등에는 하도(河圖) 또는 마도(馬圖)를 지고 있었습니다. 임금이 나라를 다스리도록 하늘이 내린 책입니다.
destinations.json::[22].quizBank[2].question	Nơi này thờ phụng ai?	이곳은 누구를 모시고 있나요?
destinations.json::[22].quizBank[2].options[0]	Những người có công với làng Minh Hương ở Hội An	호이안 명향 마을에 공을 세운 사람들
destinations.json::[22].quizBank[2].options[1]	Tướng Trần Thượng Xuyên và Dương Ngạn Địch	쩐 트엉 쑤옌과 즈엉 응안 딕 장군
destinations.json::[22].quizBank[2].options[2]	Phúc Đức chính thần	복덕정신(福德正神)
destinations.json::[22].quizBank[2].explain	Trong tên Tuỵ Tiên Đường, “tuỵ” có nghĩa là tụ họp, còn “tiên” là người xưa quá vãng. Văn bia tại đình có ghi: Khi xây dựng một làng tất phải nhớ công lao của tiền nhân. Người đời không thể quên đức tốt đã truyền lưu. Văn bia cũng giải thích rằng các vị được thờ nơi đây trước là cựu thần nhà Minh. Vận nhà Minh đã qua, lòng họ không nhận hai vua nên từ quan, đổi tên họ, lánh nạn đến đất phương nam, rồi họp người Tàu lại tại xứ nam, chọn chữ Minh để giữ quốc hiệu.	취선당(萃先堂)이라는 이름에서 '취'는 모인다는 뜻이고, '선'은 앞서 살다 간 사람입니다. 이곳 비문에는 이렇게 적혀 있습니다. “마을을 세울 때에는 반드시 앞사람의 공을 기억해야 한다. 세상 사람은 전해진 좋은 덕을 잊을 수 없다.” 비문은 또, 여기 모신 분들이 본래 명나라의 옛 신하였다고 밝힙니다. 명의 운이 다한 뒤 그들은 두 임금을 섬기지 않겠다며 벼슬을 버리고 성을 바꾸어 남쪽 땅으로 피해 왔고, 남쪽에서 중국 사람들을 모아 '명(明)'이라는 글자를 골라 나라 이름을 지켰습니다.
destinations.json::[22].short	Mang đậm giá trị văn hóa của những người gốc Hoa mang thân phận người dân Đại Nam dưới triều Nguyễn	응우옌 왕조 아래 다이남(大南)의 백성으로 살아간 화교 후손들의 문화가 짙게 남은 곳
destinations.json::[22].highlights[0]	Kiến trúc gỗ được thực hiện bởi các nghệ nhân làng Kim Bồng	김봉 마을 장인들이 지은 목조 건축
destinations.json::[22].highlights[1]	Sự hòa trộn văn hóa Việt và Trung	베트남과 중국 문화의 어우러짐
destinations.json::[22].highlights[2]	Câu chuyện của cộng đồng người Hoa đã Việt hoá.	베트남 사람이 된 화교 공동체의 이야기
destinations.json::[23].name	Đình Hội An	호이안 마을회관 (딘 호이안)
destinations.json::[23].description	Đình không chỉ gây ấn tượng thị giác mạnh mẽ mà còn là một trải nghiệm khám phá thú vị, đầy bất ngờ.	이 회관은 시각적으로 강한 인상을 줄 뿐 아니라, 뜻밖의 발견이 이어지는 즐거운 탐험이 됩니다.
destinations.json::[23].quizBank[0].question	Đình Hội An còn có tên gọi nào khác?	딘 호이안에는 어떤 다른 이름이 있나요?
destinations.json::[23].quizBank[0].options[0]	Đình Voi Ré	딘 보이 제 (코끼리 울음 회관)
destinations.json::[23].quizBank[0].options[1]	Đình Voi Phục	딘 보이 푹 (엎드린 코끼리 회관)
destinations.json::[23].quizBank[0].options[2]	Đình Ông Voi	딘 옹 보이 (코끼리 어른 회관)
destinations.json::[23].quizBank[0].explain	Tên gọi đình Ông Voi xuất phát từ cặp tượng voi quỳ phục đặt ở sân trước. Hai pho tượng có kích thước lớn, chạm khắc tinh xảo, khoác lễ phục với nhiều chi tiết trang trí. Hình tượng voi không chỉ gây ấn tượng thị giác mà còn gắn liền với biểu tượng sức mạnh, trí tuệ trong văn hóa - tín ngưỡng dân gian. Trong Phật giáo, voi cũng là một biểu tượng của sức mạnh tâm thức, gắn với nhiều điển tích.	'딘 옹 보이'라는 이름은 앞마당에 무릎을 꿇고 엎드린 코끼리 한 쌍의 상에서 왔습니다. 두 상은 크기가 크고 정교하게 새겨졌으며, 장식이 많은 예복을 걸치고 있습니다. 코끼리의 형상은 시각적으로 강렬할 뿐 아니라, 민간 문화와 신앙에서 힘과 지혜의 상징과 이어집니다. 불교에서도 코끼리는 마음의 힘을 나타내는 상징으로 여러 이야기에 등장합니다.
destinations.json::[23].quizBank[1].question	Đây là con vật gì?	이것은 어떤 동물인가요?
destinations.json::[23].quizBank[1].options[0]	Long mã	용마 (龍馬)
destinations.json::[23].quizBank[1].options[1]	Sư tử	사자
destinations.json::[23].quizBank[1].options[2]	Lân	기린 (麒麟)
destinations.json::[23].quizBank[1].explain	Hình trên bình phong là một cách điệu của hình tượng Long mã Hà đồ. Truyền thuyết kể rằng, Long Mã xuất hiện trên sông Hoàng Hà, dưới thời Phục Hy, mình xanh, vằn đỏ, trên lưng có mang bức Hà đồ, hay Mã đồ, là sách trời ban cho vua để trị nước.	병풍 위의 그림은 용마하도(龍馬河圖)를 도안화한 것입니다. 전설에 따르면 복희 때 황하에 용마가 나타났는데, 몸은 푸르고 붉은 무늬가 있었으며 등에 하도(마도)를 지고 있었습니다. 임금이 나라를 다스리도록 하늘이 내린 책입니다.
destinations.json::[23].quizBank[2].question	Bạn đã lên ban thờ trên tầng hai chưa? Hãy đi tìm lối lên tầng. Trên mái nhà đối diện là hoạ tiết gì?	2층 제단에 올라가 보셨나요? 올라가는 길을 찾아보세요. 마주 보이는 지붕에는 어떤 무늬가 있나요?
destinations.json::[23].quizBank[2].options[0]	Cá và bình hồ lô	물고기와 호로병
destinations.json::[23].quizBank[2].options[1]	Rồng dây và mặt trời	덩굴 용과 해
destinations.json::[23].quizBank[2].options[2]	Rồng và bình hồ lô	용과 호로병
destinations.json::[23].short	Tưởng không bất ngờ, nhưng bất ngờ không tưởng với đường đi lên hậu tẩm	놀랄 일 없어 보이지만, 뒤편 신실로 오르는 길에서 뜻밖의 놀라움을 만납니다.
destinations.json::[23].highlights[0]	Hình tượng trang trí ấn tượng ở sân trước	앞마당의 인상적인 장식 조형
destinations.json::[23].highlights[1]	Hậu tẩm hai tầng độc đáo – view phố cổ có một không hai	2층 구조의 독특한 후침(後寢) — 구시가를 보는 유일한 시야
destinations.json::[24].name	Điểm tham quan trình nghề Xí Mà	시마 (흑임자 죽) 시연장
destinations.json::[24].description	Chè mè đen từng theo những gánh hàng rong đi khắp phố cổ từ sáng sớm. Ở điểm trình nghề, khách xem cách xay mè, nấu chè và nghe vì sao bát chè này vừa là món ăn vừa là thang thuốc.	흑임자 죽은 이른 아침부터 구시가를 돌던 봇짐 장수들의 짐 속에 있었습니다. 시연장에서는 참깨를 가는 법과 죽을 끓이는 법을 보고, 이 한 그릇이 어째서 음식이면서 약도 되는지 듣게 됩니다.
destinations.json::[24].quizBank[0].question	Thành phần nào sau đây không có trong chè Xí Mà?	다음 중 시마 죽에 들어가지 않는 재료는 무엇인가요?
destinations.json::[24].quizBank[0].options[0]	Thanh địa	지황 (숙지황)
destinations.json::[24].quizBank[0].options[1]	Bột sắn	카사바 전분
destinations.json::[24].quizBank[0].options[2]	Rau má	병풀 (센텔라)
destinations.json::[24].quizBank[0].explain	Nguyên liệu chủ yếu để làm xí mà chính là mè đen, ngoài ra còn có các loại: bột khoai, thanh địa, rau má, rau mơ, và đường, những thứ này toàn là những nguyên liệu sẵn có của địa phương, duy chỉ có thanh địa là một vị thuốc của Đông y (thuốc Bắc) phải mua ở tiệm thuốc.	시마의 주재료는 검은깨입니다. 그 밖에 고구마 가루, 지황, 병풀, 피쉬민트, 설탕이 들어갑니다. 모두 이 지역에서 나는 재료이고, 지황만은 한약재라서 약방에서 사 와야 합니다.
destinations.json::[24].quizBank[1].question	Tên xí mà có nguồn gốc từ đâu?	'시마'라는 이름은 어디에서 왔나요?
destinations.json::[24].quizBank[1].options[0]	Phương ngữ miền Trung	중부 지방 방언
destinations.json::[24].quizBank[1].options[1]	Tiếng Nhật	일본어
destinations.json::[24].quizBank[1].options[2]	Tiếng Quảng Đông	광둥어
destinations.json::[24].quizBank[1].explain	Xí mà (đọc lệch từ "chí mà phù") là một từ có gốc từ tiếng Quảng Đông (Trung Quốc), dùng để chỉ món chè mè đen (súp mè đen xay nhuyễn). Chí mà có nghĩa là mè đen và phù có nghĩa là xay nhuyễn.	시마는 '지마후(芝麻糊)'가 소리가 바뀐 말로, 광둥어에서 왔습니다. 검은깨를 곱게 갈아 끓인 단죽을 가리킵니다. '지마'는 검은깨, '후'는 곱게 갈았다는 뜻입니다.
destinations.json::[24].short	Cơ hội học nấu món chè đặc trưng của Hội An khi đi du lịch	여행 중에 호이안의 대표 단죽을 직접 끓여 보는 기회
destinations.json::[24].highlights[0]	Cách xay và nấu mè đen theo lối cũ	옛 방식으로 참깨를 갈고 죽을 끓이는 법
destinations.json::[24].highlights[1]	Các vị đi cùng mè đen: thanh địa, rau má, rau mơ	흑임자와 함께 들어가는 재료 — 지황, 병풀, 피쉬민트
destinations.json::[24].highlights[2]	Tự tay nấu và nếm một bát chè nóng	직접 끓여 뜨거운 한 그릇을 맛보기
tours.json::[0].title	Vượt biển trèo non	바다를 건너 산을 넘어
tours.json::[0].short	Hành trình của những người vượt biển đến Hội An	바다를 건너 호이안에 온 사람들의 여정
tours.json::[0].description	Từ chuyện 108 thương nhân bị xử oan đến khát khao những chuyến hải trình sóng yên biển lặng, chuyến đi khám phá trải nghiệm của những thương thuyền đến cảng thị Hội An đồng thời giới thiệu đặc trưng kiến trúc của các hội quán khác nhau của cộng đồng Hoa kiều.	억울하게 목숨을 잃은 108명의 상인 이야기부터 파도 없는 뱃길을 바라던 마음까지, 이 길은 상선들이 회안 항구에 이르기까지 겪은 일을 따라갑니다. 동시에 화교 사회의 여러 회관이 서로 어떻게 다른지 그 건축을 보여 줍니다.
tours.json::[0].voucher	Voucher quà tặng (chốt tên sau)	선물 상품권 (이름 확정 전)
tours.json::[1].title	Một tấc lòng son	한 조각 붉은 마음
tours.json::[1].short	Cuộc đời, sự nghiệp và tư tưởng của trí thức Hội An	호이안 지식인들의 삶과 이력, 그리고 생각
tours.json::[1].description	Dọc theo hành trình này, du khách sẽ khám phá cuộc đời, sự nghiệp và tư tưởng của các trí thức ở Hội An: từ tấm gương trung hiếu tiết nghĩa được đông đảo nho sĩ ở các vùng phía Nam Trung Hoa và khắp Việt Nam thờ phụng, cho đến quan lại thời nhà Nguyễn và thế hệ chí sĩ Duy Tân.	이 길에서는 호이안 지식인들의 삶과 이력, 생각을 만납니다. 중국 남방과 베트남 전역의 유학자들이 받들어 온 충의와 절개의 표상에서, 응우옌 왕조의 관리들과 두이떤(維新) 세대의 지사들까지.
tours.json::[1].voucher	Voucher quà tặng (chốt tên sau)	선물 상품권 (이름 확정 전)
tours.json::[2].title	Lạc tại nhân hòa	즐거움은 화합에 있다
tours.json::[2].short	Cuộc bộ hành khám phá sự đa dạng văn hoá của Hội An	호이안의 여러 문화를 걸어서 만나기
tours.json::[2].description	Bắt đầu từ văn hóa Nhật Bản, Trung Hoa cho tới truyền thống Việt Nam, tuyến đường này tôn vinh sự phong phú về văn hóa của Hội An, đồng thời thể hiện nét chan hòa, cởi mở đặc trưng của một phố cảng - nơi nhiều sắc thái văn hóa đồng hành và phát triển.	일본과 중국의 문화에서 베트남의 전통까지, 이 길은 호이안이 품은 문화의 두께를 기립니다. 그리고 여러 문화가 나란히 살아가고 자라난 항구 도시의 열린 마음을 보여 줍니다.
tours.json::[2].voucher	Voucher quà tặng (chốt tên sau)	선물 상품권 (이름 확정 전)
tours.json::[3].title	Ngày vàng Phố Hội	호이안의 황금기
tours.json::[3].short	Khám phá một thời vàng son của cảng thị Hội An	항구 도시 호이안의 전성기를 들여다보기
tours.json::[3].description	Hành trình khám phá nét phong phú trong văn hóa, sự trù phú do thiên nhiên ban tặng cùng hệ thống thương mại phát triển của Hội An. Tất cả tạo nên một cảng thị phồn vinh với những mặt hàng quý hiếm, đắt đỏ nhưng không làm mất đi sự giàu có trong tâm hồn người.	호이안을 넉넉하게 만든 문화와 자연의 산물, 그리고 상업망을 따라 걷습니다. 귀하고 값비싼 물건이 오간 항구였지만, 사람의 마음속 넉넉함까지 팔아넘기지는 않았습니다.
tours.json::[3].voucher	Voucher quà tặng (chốt tên sau)	선물 상품권 (이름 확정 전)
rewards.json::[0].title	Quà đầu tiên	첫 선물
rewards.json::[0].reward	Voucher 50.000đ của Vigift hoặc giảm 10% ở VAN•HOA	Vigift 50,000동 상품권 또는 VAN•HOA 10% 할인
rewards.json::[1].title	Voucher lớn hơn	더 큰 상품권
rewards.json::[1].reward	Voucher 100.000đ của Vigift hoặc giảm 15% ở VAN•HOA	Vigift 100,000동 상품권 또는 VAN•HOA 15% 할인
rewards.json::[2].title	Món quà cầm tay	손에 쥐는 선물
rewards.json::[2].reward	Set charm DIY hoạ tiết Trung thu hoặc quạt Tuần lễ Sáng tạo Hội An	중추절 문양 DIY 참 세트 또는 호이안 크리에이티브 위크 부채
rewards.json::[3].title	Chiếc khăn Tuần lễ	크리에이티브 위크 스카프
rewards.json::[3].reward	Khăn Tuần lễ Sáng tạo Hội An	호이안 크리에이티브 위크 스카프
rewards.json::[4].title	Quà lớn nhất	가장 큰 선물
rewards.json::[4].reward	Set quà Vigift Đà Nẵng	Vigift 다낭 기프트 세트
categories.json::[0].label	Di tích	유적
categories.json::[1].label	Hội quán	회관
categories.json::[2].label	Nhà cổ	고가옥
categories.json::[3].label	Bảo tàng	박물관
categories.json::[4].label	Trải nghiệm & trình diễn	체험·시연
ticket-points.json::[0].where	Bên trái Quảng trường sông Hoài, trên dọc đường Công Nữ Ngọc Hoa	호아이강 광장 왼편, Công Nữ Ngọc Hoa 거리를 따라
ticket-points.json::[1].where	Đầu đường Nguyễn Thị Minh Khai, gần chỗ con thuyền Nhật Bản, ngay chỗ bắt xe taxi - xe điện	Nguyễn Thị Minh Khai 거리 입구, 일본 배 모형 근처, 택시·전기차 승차장 바로 옆
ticket-points.json::[2].where	Đầu đường Nguyễn Phúc Chu	Nguyễn Phúc Chu 거리 입구
ticket-points.json::[3].where	Công viên Phan Châu Trinh	Phan Châu Trinh 공원
ticket-points.json::[4].where	Cạnh chùa Cầu	내원교(일본교) 옆
ticket-points.json::[5].where	Đầu cầu An Hội, bên Nguyễn Phúc Chu	안호이교 입구, Nguyễn Phúc Chu 쪽
ticket-points.json::[6].where	Trên đường Hai Bà Trưng, trước cổng chùa Bà Thiên Mụ	Hai Bà Trưng 거리, 티엔무 사원 문 앞
ticket-points.json::[7].where	Trên đường Lê Lợi, cạnh Đình Hội An	Lê Lợi 거리, 호이안 마을회관 옆
ticket-points.json::[8].where	Trên đường Hoàng Văn Thụ, ra bờ sông	Hoàng Văn Thụ 거리, 강변 쪽
ticket-points.json::[9].where	Góc đường Phan Châu Trinh - Nguyễn Huệ	Phan Châu Trinh · Nguyễn Huệ 교차로
ticket-points.json::[10].where	Điểm bán vé tại bãi xe Hoiango	Hoiango 주차장 매표소
strings.js::explore	Khám phá	탐색
strings.js::tours	Hành trình	코스
strings.js::passport	Sổ tay	수첩
strings.js::all	Tất cả	전체
strings.js::no_sites	Chưa có điểm đến.	아직 표시할 곳이 없습니다.
strings.js::directions	Chỉ đường	길찾기
strings.js::checkin	Check-in	체크인
strings.js::locating	Đang định vị...	위치 확인 중...
strings.js::retry	Thử lại	다시 시도
strings.js::back	Quay lại	돌아가기
strings.js::far	Quá xa. Hãy đến gần hơn.	너무 멉니다. 더 가까이 가 주세요.
strings.js::geo_denied	Bật vị trí để check-in.	체크인하려면 위치를 켜 주세요.
strings.js::allow_location	Bật vị trí	위치 켜기
strings.js::geo_fail	Lỗi định vị. Thử lại ngoài trời.	위치 확인 실패. 야외에서 다시 시도해 주세요.
strings.js::continue_btn	Tiếp tục	계속
strings.js::correct_title	Chính xác	정답
strings.js::wrong_title	Chưa đúng	아쉽네요
strings.js::nav_start	Lên đường	출발
strings.js::nav_here	Check-in tại đây	여기서 체크인
strings.js::continue_tour	Tiếp tục tuyến	코스 계속하기
strings.js::nav_locate_prompt	Cần vị trí để dẫn đường	길 안내에는 위치가 필요합니다
strings.js::nav_enable	Bật định vị	위치 켜기
strings.js::nav_done	Đã hoàn thành tuyến	코스를 완주했습니다
strings.js::nav_exit	Thoát	나가기
strings.js::nav_seepassport	Xem sổ tay	수첩 보기
strings.js::checkin_done	Đã check-in và lưu tem.	체크인 완료, 도장을 받았습니다.
strings.js::route	Lộ trình	경로
strings.js::tour_extra	Còn thời gian thì ghé thêm	시간이 남으면 여기도
strings.js::plan	Gợi ý	추천
strings.js::plan_title	Chọn điểm	갈 곳 고르기
strings.js::plan_cta	Gợi ý 5 điểm	5곳 추천받기
strings.js::plan_scan	Quét vé để lưu	입장권을 스캔해 저장
strings.js::scan_btn	Quét vé	입장권 스캔
strings.js::scan_saved	Đã lưu vé.	입장권을 저장했습니다.
strings.js::scan_why	Bạn cần vé để nhận quà lớn hơn.	더 큰 선물을 받으려면 입장권이 필요합니다.
strings.js::scan_saved_short	Đã lưu vé	입장권 저장됨
strings.js::see_detail	Xem chi tiết	자세히 보기
strings.js::buy_ticket	Mua vé ở đâu?	입장권은 어디서 사나요?
strings.js::close_btn	Đóng	닫기
strings.js::scan_point	Quét mã QR trên vé	입장권의 QR 코드를 스캔하세요
strings.js::scan_unsupported	Lỗi camera. Bật camera hoặc chọn điểm bên dưới.	카메라 오류입니다. 카메라를 켜거나 아래에서 직접 고르세요.
strings.js::scan_bad_ticket	Mã không hợp lệ. Vui lòng quét vé Hội An.	올바른 코드가 아닙니다. 호이안 입장권을 스캔해 주세요.
strings.js::welcome_start	Tiếp tục	계속
strings.js::scan_title	Quét mã vé	입장권 스캔
strings.js::scan_skip	Bỏ qua, chọn điểm ngay	건너뛰고 바로 고르기
strings.js::terms_pre	Bạn đồng ý với 	동의합니다: 
strings.js::terms_link	điều khoản sử dụng	이용약관
strings.js::terms_title	Điều khoản	이용약관
strings.js::guide_title	Cách chơi	게임 방법
strings.js::perm_lead	Cho phép vị trí và chuyển động để tìm điểm đến phù hợp và dẫn đường.	맞는 목적지를 찾고 길을 안내하기 위해 위치와 동작 정보를 허용해 주세요.
strings.js::study_agree	Tham gia nghiên cứu	연구에 참여하기
strings.js::feat_map	Khám phá 25 điểm di sản & tạo hành trình phù hợp	25곳의 문화유산을 둘러보고 나에게 맞는 코스 만들기
strings.js::feat_ticket	Check-in và nhận mắt cửa tại mỗi điểm	각 지점에서 체크인하고 맛끄어(문의 눈) 도장 받기
strings.js::feat_plan	Đổi mắt cửa và nhận quà	맛끄어를 모아 선물로 바꾸기
strings.js::perm_title	Vị trí và chuyển động	위치와 동작
strings.js::your_ticket	Vé của bạn	나의 입장권
strings.js::route_label	Tuyến của bạn	나의 코스
strings.js::route_resume	Tiếp tục hành trình	이어서 걷기
strings.js::route_more	Xem thêm hành trình	다른 코스 보기
strings.js::route_empty	Chưa có tuyến. Chọn 5 điểm.	아직 코스가 없습니다. 5곳을 골라 보세요.
strings.js::all_sites	Tất cả điểm đến	전체 지점
strings.js::r_higher	Đã đủ điểm	점수 충족
strings.js::view_mode	Chế độ xem	보기 방식
strings.js::view_list	Danh sách	목록
strings.js::view_map	Bản đồ	지도
strings.js::step_monument	Di tích	유적
strings.js::step_museum	Bảo tàng	박물관
strings.js::step_free	3 điểm tự do	자유 선택 3곳
strings.js::rec_head	Gợi ý tuyến	추천 코스
strings.js::rec_badge	Đề xuất	추천
strings.js::use_set	Chọn tuyến này	이 코스로 하기
strings.js::pick_own	Tự chọn 5 điểm	직접 5곳 고르기
strings.js::reset_picks	Xóa hết	전체 지우기
strings.js::auto_pick	Chọn giúp tôi	골라 주세요
strings.js::pick_hint	Chạm để bắt đầu	눌러서 시작
strings.js::scroll_more	Thêm bộ lọc	필터 더 보기
strings.js::see_more	Xem thêm	더 보기
strings.js::list_less	Thu gọn	접기
strings.js::pick_do	Chọn	선택
strings.js::pick_remove	Bỏ chọn	선택 해제
strings.js::done_title	Hành trình của bạn	나의 코스
strings.js::go_checkin	Lên đường	출발
strings.js::edit_plan	Chọn lại	다시 고르기
strings.js::lang_switch	Ngôn ngữ (Language)	언어 (Language)
strings.js::set_complete	Đã hoàn thành bộ tem.	도장을 모두 모았습니다.
strings.js::tour_to_passport	Đã cộng điểm. Đổi quà trong Sổ tay.	점수가 더해졌습니다. 수첩에서 선물을 받으세요.
strings.js::redeem_intro	Đưa màn hình này cho nhân viên để nhận quà.	이 화면을 직원에게 보여 주세요.
strings.js::redeem_title	Đổi quà	선물 받기
strings.js::redeem_none	Chưa có quà.	아직 받을 선물이 없습니다.
strings.js::needs_ticket_tag	Cần vé	입장권 필요
strings.js::gift_ticket_hint	Quét mã QR vé để nhận.	입장권 QR을 스캔하면 받을 수 있습니다.
strings.js::tk_check	Đối chiếu vé	입장권 확인
strings.js::tk_none	Chưa quét vé	입장권 미등록
strings.js::redeem_closed	Đổi quà tại quầy vé từ 28/8 đến 02/9.	선물은 8월 28일~9월 2일 매표소에서 받을 수 있습니다.
strings.js::install	Cài ứng dụng	앱 설치
strings.js::install_next	Đã hiểu	알겠습니다
strings.js::install_now	Cài đặt ngay	지금 설치
strings.js::locate_me	Vị trí của tôi	내 위치
strings.js::reset_north	Hướng Bắc	북쪽
strings.js::research_optin	Góp dữ liệu ẩn danh cho nghiên cứu: điểm ghé, thứ tự trong lượt thăm, vị trí thô. Không tên, không số máy, không nối giữa các lần dùng. Tắt được tại đây.	연구를 위해 익명 데이터를 보냅니다: 방문한 곳, 방문 순서, 대략적인 위치. 이름·전화번호는 없고, 방문 기록끼리 연결되지도 않습니다. 여기서 언제든 끌 수 있습니다.
strings.js::study_note	Dữ liệu giúp ban tổ chức xem mật độ tại các điểm đến.	이 데이터로 주최 측이 각 지점의 혼잡도를 봅니다.
strings.js::prev_site	Điểm trước	이전 지점
strings.js::next_site	Điểm sau	다음 지점
strings.js::booth_find	Quầy vé gần nhất	가장 가까운 매표소
strings.js::flag_warn	Sổ tay có dấu hiệu bất thường. Xác nhận lại trước khi phát voucher.	이 수첩에 이상 징후가 있습니다. 상품권을 주기 전에 다시 확인하세요.
strings.js::points	điểm	점
strings.js::perfect_bonus	Đúng lần đầu	첫 시도에 정답
strings.js::spotlight	Đề xuất	추천
strings.js::rewards_title	Điểm & Quà	점수와 선물
strings.js::pp_more	Cài đặt	설정
strings.js::reward_taken	Đã nhận	받음
strings.js::one_gift_note	Mỗi sổ tay nhận 1 phần quà.	수첩 하나에 선물 하나.
strings.js::score_how	Cách tính điểm	점수 계산 방법
strings.js::pt_stamp	khi check-in	체크인할 때
strings.js::pt_perfect	trả lời đúng ngay lần đầu	첫 시도에 정답을 맞히면
strings.js::pt_spotlight	ghé điểm vắng khách	한가한 지점에 들르면
strings.js::pt_tour	hoàn thành tuyến	코스를 완주하면
strings.js::backup_title	Sao lưu	백업
strings.js::backup_hint	Lưu mã bên dưới để khôi phục tem khi đổi thiết bị.	기기를 바꿀 때 도장을 되살리려면 아래 코드를 저장해 두세요.
strings.js::copy	Sao chép	복사
strings.js::copied	Đã sao chép	복사했습니다
strings.js::copy_link	Sao chép link	링크 복사
strings.js::restore	Khôi phục	복원
strings.js::restore_or_code	Nhập mã 8 ký tự:	8자리 코드 입력:
strings.js::ticket_taken	Vé đã quét ở thiết bị khác. Quét lại để lấy dữ liệu.	이 입장권은 다른 기기에서 스캔되었습니다. 다시 스캔하면 기록을 가져옵니다.
strings.js::restore_ok	Đã khôi phục.	복원했습니다.
strings.js::restore_bad	Mã phải có 8 ký tự.	코드는 8자리여야 합니다.
strings.js::restore_offline	Lỗi mạng. Thử lại sau.	네트워크 오류입니다. 나중에 다시 시도해 주세요.
strings.js::offline_ok	Vẫn có thể check-in offline. Ứng dụng sẽ đồng bộ khi có mạng.	오프라인에서도 체크인할 수 있습니다. 연결되면 자동으로 동기화됩니다.
strings.js::ticket_points	Điểm bán vé	매표소
strings.js::popup_detail	Xem & check-in	보기 & 체크인
strings.js::dont_miss	Đừng bỏ lỡ	놓치지 마세요
strings.js::open_now	Đang mở	영업 중
strings.js::closed_now	Đã đóng	마감
strings.js::nav_arrived_at()	Đã đến {name}	{name} 도착
strings.js::nav_to()	{dist} tới {name}	{name}까지 {dist}
