path	vi	ja
destinations.json::[23].highlights[1]	Hậu tẩm hai tầng độc đáo – view phố cổ có một không hai	二層の独特な後寝——ほかにない旧市街の眺め
destinations.json::[24].name	Điểm tham quan trình nghề Xí Mà	シーマー（黒ごま汁）実演所
destinations.json::[24].description	Chè mè đen từng theo những gánh hàng rong đi khắp phố cổ từ sáng sớm. Ở điểm trình nghề, khách xem cách xay mè, nấu chè và nghe vì sao bát chè này vừa là món ăn vừa là thang thuốc.	黒ごまの甘い汁物は、早朝から担ぎ売りとともに旧市街をめぐっていました。実演所では、ごまを挽き汁を煮る様子を見て、この一杯がなぜ食べ物であり薬でもあるのかを聞けます。
destinations.json::[24].quizBank[0].question	Thành phần nào sau đây không có trong chè Xí Mà?	次のうち、シーマーに入らない材料はどれですか？
destinations.json::[24].quizBank[0].options[0]	Thanh địa	地黄
destinations.json::[24].quizBank[0].options[1]	Bột sắn	キャッサバ粉
destinations.json::[24].quizBank[0].options[2]	Rau má	ツボクサ
destinations.json::[24].quizBank[0].explain	Nguyên liệu chủ yếu để làm xí mà chính là mè đen, ngoài ra còn có các loại: bột khoai, thanh địa, rau má, rau mơ, và đường, những thứ này toàn là những nguyên liệu sẵn có của địa phương, duy chỉ có thanh địa là một vị thuốc của Đông y (thuốc Bắc) phải mua ở tiệm thuốc.	シーマーの主材料は黒ごまです。ほかに芋の粉、地黄、ツボクサ、ドクダミ、砂糖が入ります。どれも地元で手に入る材料ですが、地黄だけは漢方薬なので薬舗で買う必要があります。
destinations.json::[24].quizBank[1].question	Tên xí mà có nguồn gốc từ đâu?	「シーマー」という名はどこから来たのですか？
destinations.json::[24].quizBank[1].options[0]	Phương ngữ miền Trung	中部の方言
destinations.json::[24].quizBank[1].options[1]	Tiếng Nhật	日本語
destinations.json::[24].quizBank[1].options[2]	Tiếng Quảng Đông	広東語
destinations.json::[24].quizBank[1].explain	Xí mà (đọc lệch từ "chí mà phù") là một từ có gốc từ tiếng Quảng Đông (Trung Quốc), dùng để chỉ món chè mè đen (súp mè đen xay nhuyễn). Chí mà có nghĩa là mè đen và phù có nghĩa là xay nhuyễn.	シーマーは「芝麻糊（チーマーフー）」の音がくずれた語で、広東語に由来します。黒ごまを細かくすって煮た甘い汁物を指します。「芝麻」は黒ごま、「糊」はすりつぶした状態を意味します。
destinations.json::[24].short	Cơ hội học nấu món chè đặc trưng của Hội An khi đi du lịch	旅の途中で、会安名物の甘い汁物を自分で作ってみる機会
destinations.json::[24].highlights[0]	Cách xay và nấu mè đen theo lối cũ	昔ながらのごまの挽き方と煮方
destinations.json::[24].highlights[1]	Các vị đi cùng mè đen: thanh địa, rau má, rau mơ	黒ごまとともに入る素材——地黄、ツボクサ、ドクダミ
destinations.json::[24].highlights[2]	Tự tay nấu và nếm một bát chè nóng	自分で一杯煮て、熱いうちに味わう
tours.json::[0].title	Vượt biển trèo non	海を越え山を越え
tours.json::[0].short	Hành trình của những người vượt biển đến Hội An	海を越えて会安にたどり着いた人々の旅
tours.json::[0].description	Từ chuyện 108 thương nhân bị xử oan đến khát khao những chuyến hải trình sóng yên biển lặng, chuyến đi khám phá trải nghiệm của những thương thuyền đến cảng thị Hội An đồng thời giới thiệu đặc trưng kiến trúc của các hội quán khác nhau của cộng đồng Hoa kiều.	無念の死を遂げた108人の商人の物語から、波静かな航海への願いまで。この道は商船が会安の港にたどり着くまでの経験をたどり、同時に華人それぞれの会館の建築の違いを見せてくれます。
tours.json::[0].voucher	Voucher quà tặng (chốt tên sau)	ギフト券（名称は未定）
tours.json::[1].title	Một tấc lòng son	一寸の丹心
tours.json::[1].short	Cuộc đời, sự nghiệp và tư tưởng của trí thức Hội An	会安の知識人の生涯・仕事・思想
tours.json::[1].description	Dọc theo hành trình này, du khách sẽ khám phá cuộc đời, sự nghiệp và tư tưởng của các trí thức ở Hội An: từ tấm gương trung hiếu tiết nghĩa được đông đảo nho sĩ ở các vùng phía Nam Trung Hoa và khắp Việt Nam thờ phụng, cho đến quan lại thời nhà Nguyễn và thế hệ chí sĩ Duy Tân.	この道では、会安の知識人たちの生涯と仕事、そして思想に出会います。中国南方とベトナム各地の儒者が仰いできた忠義と節義の象徴から、阮朝の官吏、そして維新世代の志士たちまで。
tours.json::[1].voucher	Voucher quà tặng (chốt tên sau)	ギフト券（名称は未定）
tours.json::[2].title	Lạc tại nhân hòa	楽しみは人の和にあり
tours.json::[2].short	Cuộc bộ hành khám phá sự đa dạng văn hoá của Hội An	歩いて出会う会安の多彩な文化
tours.json::[2].description	Bắt đầu từ văn hóa Nhật Bản, Trung Hoa cho tới truyền thống Việt Nam, tuyến đường này tôn vinh sự phong phú về văn hóa của Hội An, đồng thời thể hiện nét chan hòa, cởi mở đặc trưng của một phố cảng - nơi nhiều sắc thái văn hóa đồng hành và phát triển.	日本と中国の文化からベトナムの伝統まで。この道は会安が抱える文化の厚みをたたえ、多くの文化が並んで生き、育ってきた港町の開かれた気風を映します。
tours.json::[2].voucher	Voucher quà tặng (chốt tên sau)	ギフト券（名称は未定）
tours.json::[3].title	Ngày vàng Phố Hội	会安の黄金時代
tours.json::[3].short	Khám phá một thời vàng son của cảng thị Hội An	港町・会安の最盛期をのぞく
tours.json::[3].description	Hành trình khám phá nét phong phú trong văn hóa, sự trù phú do thiên nhiên ban tặng cùng hệ thống thương mại phát triển của Hội An. Tất cả tạo nên một cảng thị phồn vinh với những mặt hàng quý hiếm, đắt đỏ nhưng không làm mất đi sự giàu có trong tâm hồn người.	会安を豊かにした文化、自然の恵み、そして交易の網をたどる道。珍しく高価な品が行き交う港でありながら、人の心の豊かさまで手放すことはありませんでした。
tours.json::[3].voucher	Voucher quà tặng (chốt tên sau)	ギフト券（名称は未定）
rewards.json::[0].title	Quà đầu tiên	はじめての贈り物
rewards.json::[0].reward	Voucher 50.000đ của Vigift hoặc giảm 10% ở VAN•HOA	Vigift 50,000ドン券、または VAN•HOA 10%割引
rewards.json::[1].title	Voucher lớn hơn	もっと大きな券
rewards.json::[1].reward	Voucher 100.000đ của Vigift hoặc giảm 15% ở VAN•HOA	Vigift 100,000ドン券、または VAN•HOA 15%割引
rewards.json::[2].title	Món quà cầm tay	手にとれる贈り物
rewards.json::[2].reward	Set charm DIY hoạ tiết Trung thu hoặc quạt Tuần lễ Sáng tạo Hội An	中秋の意匠のDIYチャームセット、または会安クリエイティブウィークの扇子
rewards.json::[3].title	Chiếc khăn Tuần lễ	クリエイティブウィークのスカーフ
rewards.json::[3].reward	Khăn Tuần lễ Sáng tạo Hội An	会安クリエイティブウィークのスカーフ
rewards.json::[4].title	Quà lớn nhất	いちばん大きな贈り物
rewards.json::[4].reward	Set quà Vigift Đà Nẵng	Vigift ダナン ギフトセット
categories.json::[0].label	Di tích	史跡
categories.json::[1].label	Hội quán	会館
categories.json::[2].label	Nhà cổ	古民家
categories.json::[3].label	Bảo tàng	博物館
categories.json::[4].label	Trải nghiệm & trình diễn	体験・実演
ticket-points.json::[0].where	Bên trái Quảng trường sông Hoài, trên dọc đường Công Nữ Ngọc Hoa	ホアイ川広場の左手、Công Nữ Ngọc Hoa 通り沿い
ticket-points.json::[1].where	Đầu đường Nguyễn Thị Minh Khai, gần chỗ con thuyền Nhật Bản, ngay chỗ bắt xe taxi - xe điện	Nguyễn Thị Minh Khai 通りの入口、日本船の模型のそば、タクシー・電気カート乗り場のところ
ticket-points.json::[2].where	Đầu đường Nguyễn Phúc Chu	Nguyễn Phúc Chu 通りの入口
ticket-points.json::[3].where	Công viên Phan Châu Trinh	Phan Châu Trinh 公園
ticket-points.json::[4].where	Cạnh chùa Cầu	来遠橋（日本橋）のそば
ticket-points.json::[5].where	Đầu cầu An Hội, bên Nguyễn Phúc Chu	アンホイ橋のたもと、Nguyễn Phúc Chu 側
ticket-points.json::[6].where	Trên đường Hai Bà Trưng, trước cổng chùa Bà Thiên Mụ	Hai Bà Trưng 通り、ティエンムー寺の門前
ticket-points.json::[7].where	Trên đường Lê Lợi, cạnh Đình Hội An	Lê Lợi 通り、ディン・ホイアンのそば
ticket-points.json::[8].where	Trên đường Hoàng Văn Thụ, ra bờ sông	Hoàng Văn Thụ 通り、川岸へ出るところ
ticket-points.json::[9].where	Góc đường Phan Châu Trinh - Nguyễn Huệ	Phan Châu Trinh 通りと Nguyễn Huệ 通りの角
ticket-points.json::[10].where	Điểm bán vé tại bãi xe Hoiango	Hoiango 駐車場のチケット売り場
strings.js::explore	Khám phá	めぐる
strings.js::tours	Hành trình	ルート
strings.js::passport	Sổ tay	手帳
strings.js::all	Tất cả	すべて
strings.js::no_sites	Chưa có điểm đến.	表示できる場所がありません。
strings.js::directions	Chỉ đường	経路案内
strings.js::checkin	Check-in	チェックイン
strings.js::locating	Đang định vị...	位置を取得中…
strings.js::retry	Thử lại	もう一度
strings.js::back	Quay lại	戻る
strings.js::far	Quá xa. Hãy đến gần hơn.	遠すぎます。もう少し近づいてください。
strings.js::geo_denied	Bật vị trí để check-in.	チェックインには位置情報が必要です。
strings.js::allow_location	Bật vị trí	位置情報をオン
strings.js::geo_fail	Lỗi định vị. Thử lại ngoài trời.	位置を取得できません。屋外でもう一度お試しください。
strings.js::continue_btn	Tiếp tục	つづける
strings.js::correct_title	Chính xác	正解
strings.js::wrong_title	Chưa đúng	残念
strings.js::nav_start	Lên đường	出発
strings.js::nav_here	Check-in tại đây	ここでチェックイン
strings.js::continue_tour	Tiếp tục tuyến	ルートを続ける
strings.js::nav_locate_prompt	Cần vị trí để dẫn đường	案内には位置情報が必要です
strings.js::nav_enable	Bật định vị	位置情報をオン
strings.js::nav_done	Đã hoàn thành tuyến	ルートを完走しました
strings.js::nav_exit	Thoát	終了
strings.js::nav_seepassport	Xem sổ tay	手帳を見る
strings.js::checkin_done	Đã check-in và lưu tem.	チェックイン完了、スタンプを受け取りました。
strings.js::route	Lộ trình	ルート
strings.js::tour_extra	Còn thời gian thì ghé thêm	時間があればここも
strings.js::plan	Gợi ý	おすすめ
strings.js::plan_title	Chọn điểm	行き先を選ぶ
strings.js::plan_cta	Gợi ý 5 điểm	5か所をおすすめ
strings.js::plan_scan	Quét vé để lưu	入場券をスキャンして保存
strings.js::scan_btn	Quét vé	入場券をスキャン
strings.js::scan_saved	Đã lưu vé.	入場券を保存しました。
strings.js::scan_why	Bạn cần vé để nhận quà lớn hơn.	大きな贈り物には入場券が必要です。
strings.js::scan_saved_short	Đã lưu vé	入場券を保存
strings.js::see_detail	Xem chi tiết	詳しく見る
strings.js::buy_ticket	Mua vé ở đâu?	入場券はどこで買えますか？
strings.js::close_btn	Đóng	閉じる
strings.js::scan_point	Quét mã QR trên vé	入場券のQRコードを読み取ってください
strings.js::scan_unsupported	Lỗi camera. Bật camera hoặc chọn điểm bên dưới.	カメラのエラーです。カメラを許可するか、下から直接選んでください。
strings.js::scan_bad_ticket	Mã không hợp lệ. Vui lòng quét vé Hội An.	このコードは無効です。会安の入場券をスキャンしてください。
strings.js::welcome_start	Tiếp tục	つづける
strings.js::scan_title	Quét mã vé	入場券をスキャン
strings.js::scan_skip	Bỏ qua, chọn điểm ngay	スキップして選ぶ
strings.js::terms_pre	Bạn đồng ý với 	同意します：
strings.js::terms_link	điều khoản sử dụng	利用規約
strings.js::terms_title	Điều khoản	利用規約
strings.js::guide_title	Cách chơi	遊びかた
strings.js::perm_lead	Cho phép vị trí và chuyển động để tìm điểm đến phù hợp và dẫn đường.	ぴったりの行き先を探して案内するために、位置情報と動きの情報を許可してください。
strings.js::study_agree	Tham gia nghiên cứu	調査に参加する
strings.js::feat_map	Khám phá 25 điểm di sản & tạo hành trình phù hợp	25の遺産をめぐり、自分に合うルートをつくる
strings.js::feat_ticket	Check-in và nhận mắt cửa tại mỗi điểm	各地点でチェックインして「門の眼」のスタンプを集める
strings.js::feat_plan	Đổi mắt cửa và nhận quà	「門の眼」を集めて贈り物と交換
strings.js::perm_title	Vị trí và chuyển động	位置情報と動き
strings.js::your_ticket	Vé của bạn	あなたの入場券
strings.js::route_label	Tuyến của bạn	あなたのルート
strings.js::route_resume	Tiếp tục hành trình	つづきを歩く
strings.js::route_more	Xem thêm hành trình	ほかのルートを見る
strings.js::route_empty	Chưa có tuyến. Chọn 5 điểm.	まだルートがありません。5か所を選んでください。
strings.js::all_sites	Tất cả điểm đến	すべての場所
strings.js::r_higher	Đã đủ điểm	ポイント達成
strings.js::view_mode	Chế độ xem	表示切替
strings.js::view_list	Danh sách	リスト
strings.js::view_map	Bản đồ	地図
strings.js::step_monument	Di tích	史跡
strings.js::step_museum	Bảo tàng	博物館
strings.js::step_free	3 điểm tự do	自由に3か所
strings.js::rec_head	Gợi ý tuyến	おすすめルート
strings.js::rec_badge	Đề xuất	おすすめ
strings.js::use_set	Chọn tuyến này	このルートにする
strings.js::pick_own	Tự chọn 5 điểm	自分で5か所選ぶ
strings.js::reset_picks	Xóa hết	すべて消す
strings.js::auto_pick	Chọn giúp tôi	おすすめで選ぶ
strings.js::pick_hint	Chạm để bắt đầu	タップして始める
strings.js::scroll_more	Thêm bộ lọc	絞り込みを追加
strings.js::see_more	Xem thêm	もっと見る
strings.js::list_less	Thu gọn	閉じる
strings.js::pick_do	Chọn	選ぶ
strings.js::pick_remove	Bỏ chọn	選択を外す
strings.js::done_title	Hành trình của bạn	あなたのルート
strings.js::go_checkin	Lên đường	出発
strings.js::edit_plan	Chọn lại	選び直す
strings.js::lang_switch	Ngôn ngữ (Language)	言語 (Language)
strings.js::set_complete	Đã hoàn thành bộ tem.	スタンプがそろいました。
strings.js::tour_to_passport	Đã cộng điểm. Đổi quà trong Sổ tay.	ポイントを加算しました。手帳で贈り物を受け取れます。
strings.js::redeem_intro	Đưa màn hình này cho nhân viên để nhận quà.	この画面をスタッフにお見せください。
strings.js::redeem_title	Đổi quà	贈り物を受け取る
strings.js::redeem_none	Chưa có quà.	まだ贈り物はありません。
strings.js::needs_ticket_tag	Cần vé	入場券が必要
strings.js::gift_ticket_hint	Quét mã QR vé để nhận.	入場券のQRを読み取ると受け取れます。
strings.js::tk_check	Đối chiếu vé	入場券の確認
strings.js::tk_none	Chưa quét vé	入場券は未スキャン
strings.js::redeem_closed	Đổi quà tại quầy vé từ 28/8 đến 02/9.	贈り物は8月28日〜9月2日にチケット売り場で受け取れます。
strings.js::install	Cài ứng dụng	アプリを追加
strings.js::install_next	Đã hiểu	わかりました
strings.js::install_now	Cài đặt ngay	今すぐ追加
strings.js::locate_me	Vị trí của tôi	現在地
strings.js::reset_north	Hướng Bắc	北向き
strings.js::research_optin	Góp dữ liệu ẩn danh cho nghiên cứu: điểm ghé, thứ tự trong lượt thăm, vị trí thô. Không tên, không số máy, không nối giữa các lần dùng. Tắt được tại đây.	調査のため匿名のデータを送ります：訪れた場所、その回の順番、おおまかな位置。名前も電話番号もなく、利用ごとの記録がつながることもありません。ここでいつでもオフにできます。
strings.js::study_note	Dữ liệu giúp ban tổ chức xem mật độ tại các điểm đến.	このデータで主催者が各地点の混み具合を把握します。
strings.js::prev_site	Điểm trước	前の場所
strings.js::next_site	Điểm sau	次の場所
strings.js::booth_find	Quầy vé gần nhất	最寄りのチケット売り場
strings.js::flag_warn	Sổ tay có dấu hiệu bất thường. Xác nhận lại trước khi phát voucher.	この手帳に不自然な記録があります。券を渡す前に確認してください。
strings.js::points	điểm	ポイント
strings.js::perfect_bonus	Đúng lần đầu	一発正解
strings.js::spotlight	Đề xuất	おすすめ
strings.js::rewards_title	Điểm & Quà	ポイントと贈り物
strings.js::pp_more	Cài đặt	設定
strings.js::reward_taken	Đã nhận	受け取り済み
strings.js::one_gift_note	Mỗi sổ tay nhận 1 phần quà.	手帳ひとつにつき贈り物はひとつ。
strings.js::score_how	Cách tính điểm	ポイントの計算
strings.js::pt_stamp	khi check-in	チェックインで
strings.js::pt_perfect	trả lời đúng ngay lần đầu	一発で正解したとき
strings.js::pt_spotlight	ghé điểm vắng khách	すいている場所に立ち寄る
strings.js::pt_tour	hoàn thành tuyến	ルートを完走
strings.js::backup_title	Sao lưu	バックアップ
strings.js::backup_hint	Lưu mã bên dưới để khôi phục tem khi đổi thiết bị.	端末を変えてもスタンプを戻せるよう、下のコードを保存してください。
strings.js::copy	Sao chép	コピー
strings.js::copied	Đã sao chép	コピーしました
strings.js::copy_link	Sao chép link	リンクをコピー
strings.js::restore	Khôi phục	復元
strings.js::restore_or_code	Nhập mã 8 ký tự:	8桁のコードを入力：
strings.js::ticket_taken	Vé đã quét ở thiết bị khác. Quét lại để lấy dữ liệu.	この入場券は別の端末でスキャン済みです。もう一度スキャンすると記録を取り戻せます。
strings.js::restore_ok	Đã khôi phục.	復元しました。
strings.js::restore_bad	Mã phải có 8 ký tự.	コードは8桁です。
strings.js::restore_offline	Lỗi mạng. Thử lại sau.	通信エラーです。あとでもう一度お試しください。
strings.js::offline_ok	Vẫn có thể check-in offline. Ứng dụng sẽ đồng bộ khi có mạng.	オフラインでもチェックインできます。通信が戻ると自動で同期します。
strings.js::ticket_points	Điểm bán vé	チケット売り場
strings.js::popup_detail	Xem & check-in	見る・チェックイン
strings.js::dont_miss	Đừng bỏ lỡ	見逃さないで
strings.js::open_now	Đang mở	開館中
strings.js::closed_now	Đã đóng	閉館
strings.js::nav_arrived_at()	Đã đến {name}	{name} に到着
strings.js::nav_to()	{dist} tới {name}	{name} まで {dist}
strings.js::question_of()	Câu {i}/{n}	問題 {i}/{n}
strings.js::stops()	{n} điểm dừng	{n} か所
strings.js::walk_time()	{m} phút đi bộ	徒歩 {m} 分
strings.js::route_walk()	{d} · {m} phút đi bộ	{d} · 徒歩 {m} 分
strings.js::list_more()	Xem thêm {n} điểm	さらに {n} か所
strings.js::tk_sites()	Vé {n} điểm	{n} か所の入場券
strings.js::wrong_wait()	Sai. Thử lại sau {n}s.	不正解。{n} 秒後にもう一度。
strings.js::booth_nearest()	Quầy {name} · cách {d}	{name} チケット売り場 · {d}
strings.js::earned()	+{n} điểm	+{n} ポイント
strings.js::spotlight_hint()	Check-in tại đây nhận +{n} điểm.	ここでチェックインすると +{n} ポイント。
strings.js::pts_more()	Cần thêm {n} điểm	あと {n} ポイント
strings.js::reward_at()	Mốc {n} điểm	{n} ポイントの段階
strings.js::pt_all()	check-in đủ {n} điểm	{n} か所すべてにチェックイン
strings.js::walk()	{d} · {m} phút đi bộ	{d} · 徒歩 {m} 分
strings.js::closing_soon()	Đóng trong {m} phút	{m} 分後に閉まります
strings.js::opens_at()	Mở lúc {t}	{t} 開館
