path	vi	de
destinations.json::[21].quizBank[0].explain	Đình có một hệ thống các con giống được tạo hình rất sinh động và độc đáo trang trí cho các bộ phận kiến trúc. Nổi bật là 9 hình chim phượng trên phương đình. Trong phong thuỷ, phượng gắn liền với hành Hỏa, mùa hạ và hướng Nam, mang lại may mắn, cát khí và cơ hội phát triển. Cơ thể của phượng đại diện cho 5 phẩm chất cao quý gồm: đức hạnh (ngay thẳng), lòng nhân đạo (lương thiện), sự công bằng, tính đáng tin (chung thủy) và sự khoan đại.	Das Gemeindehaus trägt an jedem Bauteil Fabeltiere von seltener Lebendigkeit. Zuerst fallen die neun Phönixe auf dem quadratischen Pavillon auf. In der Geomantik gehört der Phönix zum Feuer, zum Sommer und zum Süden: Er bringt Glück, günstige Kraft und Gelegenheit zum Wachsen. Sein Körper steht für fünf Tugenden: Aufrichtigkeit, Güte, Gerechtigkeit, Treue und Großmut.
destinations.json::[21].quizBank[1].question	Tại sao Đình Cẩm Phô lại có tên Cẩm Phô Hương Hiền?	Warum heißt das Gemeindehaus von Cẩm Phô auch „Cẩm Phô Hương Hiền“?
destinations.json::[21].quizBank[1].options[0]	Đình lưu giữ các ký ức từ xa xưa	Weil es Erinnerungen aus ferner Zeit bewahrt
destinations.json::[21].quizBank[1].options[1]	Đình có thờ các vị tiền hiền, hậu hiền làng Cẩm Phô	Weil es die früheren und späteren Würdigen des Dorfes Cẩm Phô verehrt
destinations.json::[21].quizBank[1].options[2]	Đình là nơi tổ chức sinh hoạt văn hoá truyền thống	Weil dort traditionelle Kulturveranstaltungen stattfinden
destinations.json::[21].quizBank[1].explain	Đình trước đây thờ bà Đại Càn và các vị thần sông nước, về sau kết hợp thờ các vị tiền hiền và hậu hiền của làng Cẩm Phô. Trong đình là những hoành phi, liễn đối thể hiện đạo lý “uống nước nhớ nguồn” như “Ẩm hà tư nguyên” (phiên bản chữ Hán của “uống nước nhớ nguồn”) hay “Quang tiền dụ hậu” mang nghĩa: rạng rỡ đời trước, sung túc đời sau.	Das Haus verehrte einst die Göttin Đại Càn und die Wassergottheiten; später kamen die früheren und späteren Würdigen des Dorfes Cẩm Phô hinzu. Innen sagen Tafeln und Spruchpaare, dass man seine Quelle nicht vergessen soll: „Trinkst du aus dem Fluss, denk an seine Quelle“, oder „Die Früheren erstrahlen lassen, die Späteren reich machen“.
destinations.json::[21].short	Kết tinh của các giá trị văn hoá Việt – sự cởi mở và chan hoà khiến cho cảng thị phồn vinh.	Die Verdichtung vietnamesischer Werte: die Offenheit und Eintracht, die den Hafen wohlhabend machten.
destinations.json::[21].highlights[0]	Các liễn đối truyền tải chiều sâu văn hoá Việt	Die Spruchpaare, Träger der Tiefe vietnamesischer Kultur
destinations.json::[21].highlights[1]	Các con giống trang trí trên phần mái	Die Fabeltiere auf dem Dach
destinations.json::[22].name	Tụy Tiên Đường Minh Hương	Das Tụy Tiên Đường Minh Hương
destinations.json::[22].description	Hai chữ Minh Hương (明香) vốn có nghĩa giữ gìn hương hỏa nhà Minh, sau đổi thành 明鄉 để chỉ làng của những người gốc nhà Minh. Tụy Tiên Đường là một di tích tiêu biểu của cộng đồng Minh Hương	Die zwei Zeichen Minh Hương (明香) bedeuteten zunächst „das Räucherwerk der Ming pflegen“; später wurden sie zu 明鄉, dem Dorf der Ming-Nachkommen. Das Tụy Tiên Đường ist dessen wichtigstes Denkmal.
destinations.json::[22].quizBank[0].question	Con hạc này đang đứng trên lưng con vật nào?	Auf dem Rücken welches Tieres steht dieser Kranich?
destinations.json::[22].quizBank[0].options[0]	Cá	Ein Fisch
destinations.json::[22].quizBank[0].options[1]	Rùa	Eine Schildkröte
destinations.json::[22].quizBank[0].options[2]	Cua	Eine Krabbe
destinations.json::[22].quizBank[0].explain	Rùa đội hạc là một biểu tượng văn hóa và tâm linh quen thuộc trong các ngôi đình, chùa và trên bàn thờ gia tiên của người Việt. Nhiều di tích của người Minh Hương có biểu tượng này từ xưa, bởi lẽ người Minh Hương từ cộng đồng người Hoa di trú đã hội nhập vào xã hội và văn hoá Việt Nam và trở thành những người Việt thực thụ.	Die Schildkröte, die den Kranich trägt, ist ein vertrautes kulturelles und geistliches Symbol in vietnamesischen Gemeindehäusern, Pagoden und an Hausaltären. Viele Minh-Hương-Denkmäler tragen es seit langem: Aus einer eingewanderten chinesischen Gemeinschaft hervorgegangen, gingen die Minh Hương in vietnamesischer Gesellschaft und Kultur auf und wurden ganz vietnamesisch.
destinations.json::[22].quizBank[1].question	Con vật này đang mang gì trên lưng?	Was trägt dieses Wesen auf dem Rücken?
destinations.json::[22].quizBank[1].options[0]	Những cuộn dây	Aufgerollte Seile
destinations.json::[22].quizBank[1].options[1]	Thuốc thang	Arzneien
destinations.json::[22].quizBank[1].options[2]	Những cuốn thư	Buchrollen
destinations.json::[22].quizBank[1].explain	Hình trên cửa là một cách điệu của hình tượng Long mã Hà đồ. Truyền thuyết kể rằng, Long Mã xuất hiện trên sông Hoàng Hà, dưới thời Phục Hy, mình xanh, vằn đỏ, trên lưng có mang bức Hà đồ, hay Mã đồ, là sách trời ban cho vua để trị nước.	Das Motiv über der Tür ist eine Stilisierung des Drachenpferds mit dem Flussdiagramm. Der Legende nach erschien zur Zeit von Phục Hy am Gelben Fluss ein Drachenpferd, blau mit roten Streifen, auf dem Rücken das Hà đồ — das Buch, das der Himmel dem Herrscher zum Regieren gibt.
destinations.json::[22].quizBank[2].question	Nơi này thờ phụng ai?	Wer wird hier verehrt?
destinations.json::[22].quizBank[2].options[0]	Những người có công với làng Minh Hương ở Hội An	Jene, die sich um das Minh-Hương-Dorf in Hội An verdient machten
destinations.json::[22].quizBank[2].options[1]	Tướng Trần Thượng Xuyên và Dương Ngạn Địch	Die Generäle Trần Thượng Xuyên und Dương Ngạn Địch
destinations.json::[22].quizBank[2].options[2]	Phúc Đức chính thần	Der Gott Phúc Đức chính thần
destinations.json::[22].quizBank[2].explain	Trong tên Tuỵ Tiên Đường, “tuỵ” có nghĩa là tụ họp, còn “tiên” là người xưa quá vãng. Văn bia tại đình có ghi: Khi xây dựng một làng tất phải nhớ công lao của tiền nhân. Người đời không thể quên đức tốt đã truyền lưu. Văn bia cũng giải thích rằng các vị được thờ nơi đây trước là cựu thần nhà Minh. Vận nhà Minh đã qua, lòng họ không nhận hai vua nên từ quan, đổi tên họ, lánh nạn đến đất phương nam, rồi họp người Tàu lại tại xứ nam, chọn chữ Minh để giữ quốc hiệu.	Im Namen Tụy Tiên Đường heißt „tụy“ sammeln und „tiên“ die Vorangegangenen. Die Stele hier sagt: Wer ein Dorf gründet, muss des Werks der Vorfahren gedenken; die Welt kann die überlieferte Tugend nicht vergessen. Sie erklärt auch, dass die hier Verehrten einst Beamte der Ming waren. Als das Geschick der Ming endete, wollten sie nicht zwei Herren dienen, gaben ihre Ämter auf, änderten ihre Namen, flohen in den Süden, sammelten dort die Chinesen und wählten das Zeichen „Minh“, um den Namen ihres Landes zu bewahren.
destinations.json::[22].short	Mang đậm giá trị văn hóa của những người gốc Hoa mang thân phận người dân Đại Nam dưới triều Nguyễn	Hier stark bewahrt: die Kultur der Menschen chinesischer Herkunft, die unter den Nguyễn Untertanen des Đại Nam wurden
destinations.json::[22].highlights[0]	Kiến trúc gỗ được thực hiện bởi các nghệ nhân làng Kim Bồng	Das Holzwerk der Handwerker aus Kim Bồng
destinations.json::[22].highlights[1]	Sự hòa trộn văn hóa Việt và Trung	Die Mischung vietnamesischer und chinesischer Kultur
destinations.json::[22].highlights[2]	Câu chuyện của cộng đồng người Hoa đã Việt hoá.	Die Geschichte einer chinesischen Gemeinschaft, die vietnamesisch wurde
destinations.json::[23].name	Đình Hội An	Das Gemeindehaus von Hội An
destinations.json::[23].description	Đình không chỉ gây ấn tượng thị giác mạnh mẽ mà còn là một trải nghiệm khám phá thú vị, đầy bất ngờ.	Das Gemeindehaus beeindruckt nicht nur das Auge, es ist auch eine Erkundung voller Überraschungen.
destinations.json::[23].quizBank[0].question	Đình Hội An còn có tên gọi nào khác?	Unter welchem anderen Namen ist das Gemeindehaus bekannt?
destinations.json::[23].quizBank[0].options[0]	Đình Voi Ré	Das Haus „des trompetenden Elefanten“
destinations.json::[23].quizBank[0].options[1]	Đình Voi Phục	Das Haus „des liegenden Elefanten“
destinations.json::[23].quizBank[0].options[2]	Đình Ông Voi	Das Haus „Herr Elefant“
destinations.json::[23].quizBank[0].explain	Tên gọi đình Ông Voi xuất phát từ cặp tượng voi quỳ phục đặt ở sân trước. Hai pho tượng có kích thước lớn, chạm khắc tinh xảo, khoác lễ phục với nhiều chi tiết trang trí. Hình tượng voi không chỉ gây ấn tượng thị giác mà còn gắn liền với biểu tượng sức mạnh, trí tuệ trong văn hóa - tín ngưỡng dân gian. Trong Phật giáo, voi cũng là một biểu tượng của sức mạnh tâm thức, gắn với nhiều điển tích.	Der Name „Haus Herr Elefant“ kommt von den beiden kniend liegenden Elefanten im Vorhof: zwei große, fein gearbeitete Figuren in reich geschmücktem Zeremonienkleid. Der Elefant fällt nicht nur ins Auge — in Volkskultur und Glauben steht er für Kraft und Weisheit; im Buddhismus zudem für die Kraft des Geistes, in vielen Erzählungen.
destinations.json::[23].quizBank[1].question	Đây là con vật gì?	Welches Tier ist das?
destinations.json::[23].quizBank[1].options[0]	Long mã	Das Drachenpferd
destinations.json::[23].quizBank[1].options[1]	Sư tử	Der Löwe
destinations.json::[23].quizBank[1].options[2]	Lân	Der Qilin
destinations.json::[23].quizBank[1].explain	Hình trên bình phong là một cách điệu của hình tượng Long mã Hà đồ. Truyền thuyết kể rằng, Long Mã xuất hiện trên sông Hoàng Hà, dưới thời Phục Hy, mình xanh, vằn đỏ, trên lưng có mang bức Hà đồ, hay Mã đồ, là sách trời ban cho vua để trị nước.	Das Motiv auf der Wandschirm-Fläche stilisiert das Drachenpferd mit dem Flussdiagramm: Zur Zeit von Phục Hy erschien am Gelben Fluss ein Drachenpferd, blau mit roten Streifen, das das Hà đồ trug — das Himmelsbuch für den Herrscher.
destinations.json::[23].quizBank[2].question	Bạn đã lên ban thờ trên tầng hai chưa? Hãy đi tìm lối lên tầng. Trên mái nhà đối diện là hoạ tiết gì?	Waren Sie schon oben am Altar im ersten Stock? Suchen Sie den Aufgang. Welches Motiv trägt das Dach gegenüber?
destinations.json::[23].quizBank[2].options[0]	Cá và bình hồ lô	Ein Fisch und eine Kürbisflasche
destinations.json::[23].quizBank[2].options[1]	Rồng dây và mặt trời	Ein Rankendrache und die Sonne
destinations.json::[23].quizBank[2].options[2]	Rồng và bình hồ lô	Ein Drache und eine Kürbisflasche
destinations.json::[23].short	Tưởng không bất ngờ, nhưng bất ngờ không tưởng với đường đi lên hậu tẩm	Man denkt, nichts werde überraschen — dann findet man den Weg hinauf zum hinteren Schrein.
destinations.json::[23].highlights[0]	Hình tượng trang trí ấn tượng ở sân trước	Die auffälligen Zierfiguren im Vorhof
destinations.json::[23].highlights[1]	Hậu tẩm hai tầng độc đáo – view phố cổ có một không hai	Der zweigeschossige hintere Schrein — mit einem Blick auf die Altstadt, den es sonst nicht gibt
destinations.json::[24].name	Điểm tham quan trình nghề Xí Mà	Vorführhaus für Xí mà (schwarze Sesamsuppe)
destinations.json::[24].description	Chè mè đen từng theo những gánh hàng rong đi khắp phố cổ từ sáng sớm. Ở điểm trình nghề, khách xem cách xay mè, nấu chè và nghe vì sao bát chè này vừa là món ăn vừa là thang thuốc.	Die schwarze Sesamsuppe zog schon im Morgengrauen mit den Tragestangen durch die Altstadt. Im Vorführhaus sieht man das Mahlen des Sesams und das Kochen der Suppe — und hört, warum diese Schale Speise und Arznei zugleich ist.
destinations.json::[24].quizBank[0].question	Thành phần nào sau đây không có trong chè Xí Mà?	Welche dieser Zutaten kommt nicht in Xí mà?
destinations.json::[24].quizBank[0].options[0]	Thanh địa	Rehmannia
destinations.json::[24].quizBank[0].options[1]	Bột sắn	Maniokstärke
destinations.json::[24].quizBank[0].options[2]	Rau má	Wassernabel
destinations.json::[24].quizBank[0].explain	Nguyên liệu chủ yếu để làm xí mà chính là mè đen, ngoài ra còn có các loại: bột khoai, thanh địa, rau má, rau mơ, và đường, những thứ này toàn là những nguyên liệu sẵn có của địa phương, duy chỉ có thanh địa là một vị thuốc của Đông y (thuốc Bắc) phải mua ở tiệm thuốc.	Hauptzutat von Xí mà ist schwarzer Sesam; dazu kommen Knollenmehl, Rehmannia, Wassernabel, Fischkraut und Zucker. Alles ist vor Ort zu haben — nur die Rehmannia ist eine chinesische Arznei und muss in der Apotheke gekauft werden.
destinations.json::[24].quizBank[1].question	Tên xí mà có nguồn gốc từ đâu?	Woher kommt der Name Xí mà?
destinations.json::[24].quizBank[1].options[0]	Phương ngữ miền Trung	Aus einem zentralvietnamesischen Dialekt
destinations.json::[24].quizBank[1].options[1]	Tiếng Nhật	Aus dem Japanischen
destinations.json::[24].quizBank[1].options[2]	Tiếng Quảng Đông	Aus dem Kantonesischen
destinations.json::[24].quizBank[1].explain	Xí mà (đọc lệch từ "chí mà phù") là một từ có gốc từ tiếng Quảng Đông (Trung Quốc), dùng để chỉ món chè mè đen (súp mè đen xay nhuyễn). Chí mà có nghĩa là mè đen và phù có nghĩa là xay nhuyễn.	Xí mà ist eine Lautverschiebung von „chí mà phù“, aus dem Kantonesischen: die süße Suppe aus feingemahlenem schwarzem Sesam — chí mà der schwarze Sesam, phù das feine Mahlen.
destinations.json::[24].short	Cơ hội học nấu món chè đặc trưng của Hội An khi đi du lịch	Die Gelegenheit, unterwegs Hội Ans typische Süßspeise selbst zu kochen
destinations.json::[24].highlights[0]	Cách xay và nấu mè đen theo lối cũ	Wie man Sesam auf alte Weise mahlt und kocht
destinations.json::[24].highlights[1]	Các vị đi cùng mè đen: thanh địa, rau má, rau mơ	Was dazukommt: Rehmannia, Wassernabel, Fischkraut
destinations.json::[24].highlights[2]	Tự tay nấu và nếm một bát chè nóng	Selbst eine Schale kochen und heiß probieren
tours.json::[0].title	Vượt biển trèo non	Über Meere und Berge
tours.json::[0].short	Hành trình của những người vượt biển đến Hội An	Die Reise jener, die über das Meer nach Hội An kamen
tours.json::[0].description	Từ chuyện 108 thương nhân bị xử oan đến khát khao những chuyến hải trình sóng yên biển lặng, chuyến đi khám phá trải nghiệm của những thương thuyền đến cảng thị Hội An đồng thời giới thiệu đặc trưng kiến trúc của các hội quán khác nhau của cộng đồng Hoa kiều.	Von den 108 zu Unrecht getöteten Kaufleuten bis zur Sehnsucht nach ruhiger See auf jeder Überfahrt: Diese Route folgt dem, was den Handelsschiffen auf dem Weg zum Hafen von Hội An begegnete — und zeigt, was die Versammlungshallen der chinesischen Gemeinschaften architektonisch unterscheidet.
tours.json::[0].voucher	Voucher quà tặng (chốt tên sau)	Geschenkgutschein (Name folgt)
tours.json::[1].title	Một tấc lòng son	Ein treues Herz
tours.json::[1].short	Cuộc đời, sự nghiệp và tư tưởng của trí thức Hội An	Leben, Werk und Ideen der Gelehrten von Hội An
tours.json::[1].description	Dọc theo hành trình này, du khách sẽ khám phá cuộc đời, sự nghiệp và tư tưởng của các trí thức ở Hội An: từ tấm gương trung hiếu tiết nghĩa được đông đảo nho sĩ ở các vùng phía Nam Trung Hoa và khắp Việt Nam thờ phụng, cho đến quan lại thời nhà Nguyễn và thế hệ chí sĩ Duy Tân.	Diese Route führt durch das Leben, das Werk und die Ideen der Gelehrten von Hội An: vom Vorbild an Treue und Aufrichtigkeit, das Konfuzianer in Südchina und ganz Vietnam verehrten, über die Mandarine des Nguyễn-Hofs bis zur Reformgeneration der Duy-Tân-Bewegung.
tours.json::[1].voucher	Voucher quà tặng (chốt tên sau)	Geschenkgutschein (Name folgt)
tours.json::[2].title	Lạc tại nhân hòa	Die Freude liegt in der Eintracht
tours.json::[2].short	Cuộc bộ hành khám phá sự đa dạng văn hoá của Hội An	Ein Spaziergang durch die Kulturen von Hội An
tours.json::[2].description	Bắt đầu từ văn hóa Nhật Bản, Trung Hoa cho tới truyền thống Việt Nam, tuyến đường này tôn vinh sự phong phú về văn hóa của Hội An, đồng thời thể hiện nét chan hòa, cởi mở đặc trưng của một phố cảng - nơi nhiều sắc thái văn hóa đồng hành và phát triển.	Von japanischer und chinesischer Kultur bis zur vietnamesischen Tradition: Diese Route ehrt den kulturellen Reichtum von Hội An und die Offenheit einer Hafenstadt, in der all das nebeneinander lebte und wuchs.
tours.json::[2].voucher	Voucher quà tặng (chốt tên sau)	Geschenkgutschein (Name folgt)
tours.json::[3].title	Ngày vàng Phố Hội	Hội Ans goldene Tage
tours.json::[3].short	Khám phá một thời vàng son của cảng thị Hội An	Mitten in der Blütezeit des Hafens von Hội An
tours.json::[3].description	Hành trình khám phá nét phong phú trong văn hóa, sự trù phú do thiên nhiên ban tặng cùng hệ thống thương mại phát triển của Hội An. Tất cả tạo nên một cảng thị phồn vinh với những mặt hàng quý hiếm, đắt đỏ nhưng không làm mất đi sự giàu có trong tâm hồn người.	Ein Weg durch die Kultur, die Gaben der Natur und das Handelsnetz, die Hội An reich machten — ein Hafen seltener und teurer Waren, der den inneren Reichtum seiner Menschen nie verkaufte.
tours.json::[3].voucher	Voucher quà tặng (chốt tên sau)	Geschenkgutschein (Name folgt)
rewards.json::[0].title	Quà đầu tiên	Erstes Geschenk
rewards.json::[0].reward	Voucher 50.000đ của Vigift hoặc giảm 10% ở VAN•HOA	Vigift-Gutschein über 50.000 ₫ oder 10 % Rabatt bei VAN•HOA
rewards.json::[1].title	Voucher lớn hơn	Ein größerer Gutschein
rewards.json::[1].reward	Voucher 100.000đ của Vigift hoặc giảm 15% ở VAN•HOA	Vigift-Gutschein über 100.000 ₫ oder 15 % Rabatt bei VAN•HOA
rewards.json::[2].title	Món quà cầm tay	Ein Geschenk für die Hand
rewards.json::[2].reward	Set charm DIY hoạ tiết Trung thu hoặc quạt Tuần lễ Sáng tạo Hội An	DIY-Charm-Set mit Mondfest-Motiv oder der Fächer der Hội An Creative Week
rewards.json::[3].title	Chiếc khăn Tuần lễ	Das Tuch der Creative Week
rewards.json::[3].reward	Khăn Tuần lễ Sáng tạo Hội An	Das Tuch der Hội An Creative Week
rewards.json::[4].title	Quà lớn nhất	Das größte Geschenk
rewards.json::[4].reward	Set quà Vigift Đà Nẵng	Das Vigift-Geschenkset aus Đà Nẵng
categories.json::[0].label	Di tích	Denkmal
categories.json::[1].label	Hội quán	Versammlungshalle
categories.json::[2].label	Nhà cổ	Altes Wohnhaus
categories.json::[3].label	Bảo tàng	Museum
categories.json::[4].label	Trải nghiệm & trình diễn	Erleben & Vorführen
ticket-points.json::[0].where	Bên trái Quảng trường sông Hoài, trên dọc đường Công Nữ Ngọc Hoa	Links vom Platz am Hoài-Fluss, entlang der Straße Công Nữ Ngọc Hoa
ticket-points.json::[1].where	Đầu đường Nguyễn Thị Minh Khai, gần chỗ con thuyền Nhật Bản, ngay chỗ bắt xe taxi - xe điện	Am Anfang der Straße Nguyễn Thị Minh Khai, beim japanischen Bootsmodell, am Taxi- und E-Cart-Stand
ticket-points.json::[2].where	Đầu đường Nguyễn Phúc Chu	Am Anfang der Straße Nguyễn Phúc Chu
ticket-points.json::[3].where	Công viên Phan Châu Trinh	Der Phan-Châu-Trinh-Park
ticket-points.json::[4].where	Cạnh chùa Cầu	Neben der Japanischen Brücke
ticket-points.json::[5].where	Đầu cầu An Hội, bên Nguyễn Phúc Chu	Am Anfang der An-Hội-Brücke, Seite Nguyễn Phúc Chu
ticket-points.json::[6].where	Trên đường Hai Bà Trưng, trước cổng chùa Bà Thiên Mụ	In der Straße Hai Bà Trưng, vor dem Tor der Bà-Thiên-Mụ-Pagode
ticket-points.json::[7].where	Trên đường Lê Lợi, cạnh Đình Hội An	In der Straße Lê Lợi, neben dem Gemeindehaus von Hội An
ticket-points.json::[8].where	Trên đường Hoàng Văn Thụ, ra bờ sông	In der Straße Hoàng Văn Thụ, Richtung Flussufer
ticket-points.json::[9].where	Góc đường Phan Châu Trinh - Nguyễn Huệ	An der Kreuzung Phan Châu Trinh / Nguyễn Huệ
ticket-points.json::[10].where	Điểm bán vé tại bãi xe Hoiango	Ticketstelle am Parkplatz Hoiango
strings.js::explore	Khám phá	Entdecken
strings.js::tours	Hành trình	Routen
strings.js::passport	Sổ tay	Notizbuch
strings.js::resonance_30	30 địa điểm cộng hưởng	Die 30 Orte im Widerhall
strings.js::all	Tất cả	Alle
strings.js::no_sites	Chưa có điểm đến.	Keine Orte.
strings.js::directions	Chỉ đường	Route
strings.js::checkin	Check-in	Einchecken
strings.js::locating	Đang định vị...	Standort wird ermittelt…
strings.js::retry	Thử lại	Erneut versuchen
strings.js::back	Quay lại	Zurück
strings.js::far	Quá xa. Hãy đến gần hơn.	Zu weit weg. Gehen Sie näher heran.
strings.js::geo_denied	Bật vị trí để check-in.	Für das Einchecken den Standort einschalten.
strings.js::allow_location	Bật vị trí	Standort einschalten
strings.js::geo_fail	Lỗi định vị. Thử lại ngoài trời.	Standort fehlgeschlagen. Draußen erneut versuchen.
strings.js::continue_btn	Tiếp tục	Weiter
strings.js::correct_title	Chính xác	Richtig
strings.js::wrong_title	Chưa đúng	Noch nicht
strings.js::nav_start	Lên đường	Los geht's
strings.js::nav_here	Check-in tại đây	Hier einchecken
strings.js::continue_tour	Tiếp tục tuyến	Route fortsetzen
strings.js::nav_locate_prompt	Cần vị trí để dẫn đường	Für die Führung wird der Standort gebraucht
strings.js::nav_enable	Bật định vị	Standort einschalten
strings.js::nav_done	Đã hoàn thành tuyến	Route geschafft
strings.js::nav_exit	Thoát	Beenden
strings.js::nav_seepassport	Xem sổ tay	Notizbuch ansehen
strings.js::checkin_done	Đã check-in và lưu tem.	Eingecheckt, Stempel erhalten.
strings.js::route	Lộ trình	Route
strings.js::tour_extra	Còn thời gian thì ghé thêm	Wenn noch Zeit ist
strings.js::plan	Gợi ý	Vorschläge
strings.js::plan_title	Chọn điểm	Orte wählen
strings.js::plan_cta	Gợi ý 5 điểm	5 Orte vorschlagen
strings.js::plan_scan	Quét vé để lưu	Ticket scannen und speichern
strings.js::scan_btn	Quét vé	Ticket scannen
strings.js::scan_saved	Đã lưu vé.	Ticket gespeichert.
strings.js::scan_why	Bạn cần vé để nhận quà lớn hơn.	Für die größeren Geschenke braucht es ein Ticket.
strings.js::scan_saved_short	Đã lưu vé	Ticket gespeichert
strings.js::see_detail	Xem chi tiết	Details ansehen
strings.js::buy_ticket	Mua vé ở đâu?	Wo gibt es Tickets?
strings.js::close_btn	Đóng	Schließen
strings.js::scan_point	Quét mã QR trên vé	QR-Code auf dem Ticket scannen
strings.js::scan_unsupported	Lỗi camera. Bật camera hoặc chọn điểm bên dưới.	Kamerafehler. Kamera aktivieren oder unten auswählen.
strings.js::scan_bad_ticket	Mã không hợp lệ. Vui lòng quét vé Hội An.	Ungültiger Code. Bitte ein Hội-An-Ticket scannen.
strings.js::welcome_start	Tiếp tục	Weiter
strings.js::scan_title	Quét mã vé	Ticket scannen
strings.js::scan_skip	Bỏ qua, chọn điểm ngay	Überspringen und direkt wählen
strings.js::terms_pre	Bạn đồng ý với 	Sie stimmen
strings.js::terms_link	điều khoản sử dụng	den Nutzungsbedingungen
strings.js::terms_title	Điều khoản	Nutzungsbedingungen
strings.js::guide_title	Cách chơi	So wird gespielt
strings.js::perm_lead	Cho phép vị trí và chuyển động để tìm điểm đến phù hợp và dẫn đường.	Erlauben Sie Standort und Bewegung, damit wir passende Orte finden und Sie führen können.
strings.js::perm_lead2	Chúng tôi xin phép thu thập dữ liệu ẩn danh để thực hiện nghiên cứu về phát triển du lịch Hội An.	Wir bitten außerdem um Ihre Erlaubnis, anonyme Daten für eine Studie zur Tourismusentwicklung in Hội An zu erheben.
strings.js::study_agree	Tham gia nghiên cứu	An der Studie teilnehmen
strings.js::feat_map	Khám phá 25 điểm di sản & tạo hành trình phù hợp	25 Kulturdenkmäler entdecken und die passende Route bauen
strings.js::feat_ticket	Check-in và nhận mắt cửa tại mỗi điểm	An jedem Ort einchecken und das „mắt cửa“, das Türauge, sammeln
strings.js::feat_plan	Đổi mắt cửa và nhận quà	Die mắt cửa gegen ein Geschenk tauschen
strings.js::perm_title	Vị trí và chuyển động	Standort und Bewegung
strings.js::your_ticket	Vé của bạn	Ihr Ticket
strings.js::route_label	Tuyến của bạn	Ihre Route
strings.js::route_resume	Tiếp tục hành trình	Route fortsetzen
strings.js::route_more	Xem thêm hành trình	Weitere Routen ansehen
strings.js::route_empty	Chưa có tuyến. Chọn 5 điểm.	Noch keine Route. Wählen Sie 5 Orte.
strings.js::all_sites	Tất cả điểm đến	Alle Orte
strings.js::r_higher	Đã đủ điểm	Punkte erreicht
strings.js::view_mode	Chế độ xem	Ansicht
strings.js::view_list	Danh sách	Liste
strings.js::view_map	Bản đồ	Karte
strings.js::step_monument	Di tích	Denkmal
strings.js::step_museum	Bảo tàng	Museum
strings.js::step_free	3 điểm tự do	3 Orte frei wählbar
strings.js::rec_head	Gợi ý tuyến	Empfohlene Routen
strings.js::rec_badge	Đề xuất	Empfohlen
strings.js::use_set	Chọn tuyến này	Diese Route wählen
strings.js::pick_own	Tự chọn 5 điểm	Selbst 5 Orte wählen
strings.js::reset_picks	Xóa hết	Alles löschen
strings.js::auto_pick	Chọn giúp tôi	Für mich wählen
strings.js::pick_hint	Chạm để bắt đầu	Tippen zum Starten
strings.js::scroll_more	Thêm bộ lọc	Weitere Filter
strings.js::see_more	Xem thêm	Mehr anzeigen
strings.js::list_less	Thu gọn	Weniger
strings.js::pick_do	Chọn	Wählen
strings.js::pick_remove	Bỏ chọn	Entfernen
strings.js::done_title	Hành trình của bạn	Ihre Route
strings.js::go_checkin	Lên đường	Los geht's
strings.js::edit_plan	Chọn lại	Neu wählen
strings.js::lang_switch	Ngôn ngữ (Language)	Sprache
strings.js::set_complete	Đã hoàn thành bộ tem.	Stempelsatz vollständig.
strings.js::tour_to_passport	Đã cộng điểm. Đổi quà trong Sổ tay.	Punkte gutgeschrieben. Geschenk im Notizbuch abholen.
strings.js::redeem_intro	Đưa màn hình này cho nhân viên để nhận quà.	Zeigen Sie diesen Bildschirm dem Personal.
strings.js::redeem_title	Đổi quà	Geschenk abholen
strings.js::redeem_none	Chưa có quà.	Noch kein Geschenk.
strings.js::needs_ticket_tag	Cần vé	Ticket nötig
strings.js::gift_ticket_hint	Quét mã QR vé để nhận.	Ticket-QR scannen, um es zu erhalten.
strings.js::tk_check	Đối chiếu vé	Ticket prüfen
strings.js::tk_none	Chưa quét vé	Ticket nicht gescannt
strings.js::redeem_closed	Đổi quà tại quầy vé từ 28/8 đến 02/9.	Geschenke vom 28.8. bis 2.9. an den Ticketstellen.
strings.js::install	Cài ứng dụng	App installieren
strings.js::install_next	Đã hiểu	Verstanden
strings.js::install_ios_1	Safari: chạm nút Chia sẻ (mũi tên đi lên) ở thanh dưới.	Safari: Tippen Sie in der unteren Leiste auf „Teilen“ (Pfeil nach oben).
strings.js::install_ios_2	Kéo xuống cuối, chọn "Thêm vào Màn hình chính".	Nach unten scrollen und „Zum Home-Bildschirm“ wählen.
strings.js::install_android_1	Chrome: chạm nút ba chấm ở bên phải thanh địa chỉ.	Chrome: Tippen Sie rechts in der Adressleiste auf die drei Punkte.
strings.js::install_android_2	Chọn "Cài đặt và tạo lối tắt".	Wählen Sie „App installieren“ oder „Zum Startbildschirm hinzufügen“.
strings.js::install_now	Cài đặt ngay	Jetzt installieren
strings.js::locate_me	Vị trí của tôi	Mein Standort
strings.js::reset_north	Hướng Bắc	Norden
