path	vi	fr
destinations.json::[22].quizBank[0].explain	Rùa đội hạc là một biểu tượng văn hóa và tâm linh quen thuộc trong các ngôi đình, chùa và trên bàn thờ gia tiên của người Việt. Nhiều di tích của người Minh Hương có biểu tượng này từ xưa, bởi lẽ người Minh Hương từ cộng đồng người Hoa di trú đã hội nhập vào xã hội và văn hoá Việt Nam và trở thành những người Việt thực thụ.	La tortue portant la grue est un symbole culturel et spirituel familier des maisons communales, des pagodes et des autels domestiques vietnamiens. Bien des monuments Minh Hương le portent depuis longtemps : issus d'une communauté chinoise immigrée, les Minh Hương se sont fondus dans la société et la culture vietnamiennes jusqu'à devenir pleinement vietnamiens.
destinations.json::[22].quizBank[1].question	Con vật này đang mang gì trên lưng?	Que porte cette créature sur son dos ?
destinations.json::[22].quizBank[1].options[0]	Những cuộn dây	Des rouleaux de corde
destinations.json::[22].quizBank[1].options[1]	Thuốc thang	Des remèdes
destinations.json::[22].quizBank[1].options[2]	Những cuốn thư	Des rouleaux de livres
destinations.json::[22].quizBank[1].explain	Hình trên cửa là một cách điệu của hình tượng Long mã Hà đồ. Truyền thuyết kể rằng, Long Mã xuất hiện trên sông Hoàng Hà, dưới thời Phục Hy, mình xanh, vằn đỏ, trên lưng có mang bức Hà đồ, hay Mã đồ, là sách trời ban cho vua để trị nước.	Le motif au-dessus de la porte est une stylisation du dragon-cheval portant le Diagramme du Fleuve. La légende dit qu'au temps de Phục Hy un dragon-cheval parut sur le fleuve Jaune, le corps bleu rayé de rouge, portant sur son dos le Hà đồ — le livre que le Ciel donne au souverain pour gouverner.
destinations.json::[22].quizBank[2].question	Nơi này thờ phụng ai?	Qui est vénéré ici ?
destinations.json::[22].quizBank[2].options[0]	Những người có công với làng Minh Hương ở Hội An	Ceux qui ont servi le village Minh Hương de Hội An
destinations.json::[22].quizBank[2].options[1]	Tướng Trần Thượng Xuyên và Dương Ngạn Địch	Les généraux Trần Thượng Xuyên et Dương Ngạn Địch
destinations.json::[22].quizBank[2].options[2]	Phúc Đức chính thần	Le dieu Phúc Đức chính thần
destinations.json::[22].quizBank[2].explain	Trong tên Tuỵ Tiên Đường, “tuỵ” có nghĩa là tụ họp, còn “tiên” là người xưa quá vãng. Văn bia tại đình có ghi: Khi xây dựng một làng tất phải nhớ công lao của tiền nhân. Người đời không thể quên đức tốt đã truyền lưu. Văn bia cũng giải thích rằng các vị được thờ nơi đây trước là cựu thần nhà Minh. Vận nhà Minh đã qua, lòng họ không nhận hai vua nên từ quan, đổi tên họ, lánh nạn đến đất phương nam, rồi họp người Tàu lại tại xứ nam, chọn chữ Minh để giữ quốc hiệu.	Dans le nom Tụy Tiên Đường, « tụy » veut dire rassembler, « tiên » ceux qui nous ont précédés. La stèle du lieu dit : bâtir un village oblige à se souvenir de l'œuvre des anciens ; le monde ne peut oublier la vertu transmise. Elle explique aussi que les hommes honorés ici furent d'abord des officiers des Ming. Le destin des Ming achevé, refusant de servir deux souverains, ils quittèrent leurs charges, changèrent de nom, se réfugièrent au sud, y rassemblèrent les Chinois et choisirent le caractère « Minh » pour garder le nom de leur pays.
destinations.json::[22].short	Mang đậm giá trị văn hóa của những người gốc Hoa mang thân phận người dân Đại Nam dưới triều Nguyễn	La culture des habitants d'origine chinoise devenus sujets du Đại Nam sous les Nguyễn, ici très présente
destinations.json::[22].highlights[0]	Kiến trúc gỗ được thực hiện bởi các nghệ nhân làng Kim Bồng	La charpente réalisée par les artisans de Kim Bồng
destinations.json::[22].highlights[1]	Sự hòa trộn văn hóa Việt và Trung	Le mélange des cultures vietnamienne et chinoise
destinations.json::[22].highlights[2]	Câu chuyện của cộng đồng người Hoa đã Việt hoá.	L'histoire d'une communauté chinoise devenue vietnamienne
destinations.json::[23].name	Đình Hội An	La maison communale de Hội An
destinations.json::[23].description	Đình không chỉ gây ấn tượng thị giác mạnh mẽ mà còn là một trải nghiệm khám phá thú vị, đầy bất ngờ.	La maison communale ne frappe pas seulement le regard : c'est aussi une exploration pleine de surprises.
destinations.json::[23].quizBank[0].question	Đình Hội An còn có tên gọi nào khác?	Sous quel autre nom connaît-on la maison communale de Hội An ?
destinations.json::[23].quizBank[0].options[0]	Đình Voi Ré	La maison « de l'éléphant qui trompette »
destinations.json::[23].quizBank[0].options[1]	Đình Voi Phục	La maison « de l'éléphant couché »
destinations.json::[23].quizBank[0].options[2]	Đình Ông Voi	La maison « du Sieur Éléphant »
destinations.json::[23].quizBank[0].explain	Tên gọi đình Ông Voi xuất phát từ cặp tượng voi quỳ phục đặt ở sân trước. Hai pho tượng có kích thước lớn, chạm khắc tinh xảo, khoác lễ phục với nhiều chi tiết trang trí. Hình tượng voi không chỉ gây ấn tượng thị giác mà còn gắn liền với biểu tượng sức mạnh, trí tuệ trong văn hóa - tín ngưỡng dân gian. Trong Phật giáo, voi cũng là một biểu tượng của sức mạnh tâm thức, gắn với nhiều điển tích.	Le nom « maison du Sieur Éléphant » vient de la paire d'éléphants agenouillés dans la cour avant : deux statues de grande taille, finement sculptées, revêtues d'un habit de cérémonie très orné. L'éléphant ne frappe pas seulement l'œil : dans la culture et la croyance populaires, il figure la force et la sagesse ; dans le bouddhisme, il symbolise aussi la force de l'esprit et traverse de nombreux récits.
destinations.json::[23].quizBank[1].question	Đây là con vật gì?	Quel est cet animal ?
destinations.json::[23].quizBank[1].options[0]	Long mã	Le dragon-cheval
destinations.json::[23].quizBank[1].options[1]	Sư tử	Le lion
destinations.json::[23].quizBank[1].options[2]	Lân	Le lion-licorne (qilin)
destinations.json::[23].quizBank[1].explain	Hình trên bình phong là một cách điệu của hình tượng Long mã Hà đồ. Truyền thuyết kể rằng, Long Mã xuất hiện trên sông Hoàng Hà, dưới thời Phục Hy, mình xanh, vằn đỏ, trên lưng có mang bức Hà đồ, hay Mã đồ, là sách trời ban cho vua để trị nước.	Le motif du paravent est une stylisation du dragon-cheval portant le Diagramme du Fleuve : au temps de Phục Hy, un dragon-cheval parut sur le fleuve Jaune, le corps bleu rayé de rouge, portant le Hà đồ, livre céleste donné au souverain pour gouverner.
destinations.json::[23].quizBank[2].question	Bạn đã lên ban thờ trên tầng hai chưa? Hãy đi tìm lối lên tầng. Trên mái nhà đối diện là hoạ tiết gì?	Êtes-vous monté à l'autel du premier étage ? Cherchez l'escalier. Quel motif orne le toit d'en face ?
destinations.json::[23].quizBank[2].options[0]	Cá và bình hồ lô	Un poisson et une gourde
destinations.json::[23].quizBank[2].options[1]	Rồng dây và mặt trời	Un dragon végétal et le soleil
destinations.json::[23].quizBank[2].options[2]	Rồng và bình hồ lô	Un dragon et une gourde
destinations.json::[23].short	Tưởng không bất ngờ, nhưng bất ngờ không tưởng với đường đi lên hậu tẩm	On croit que rien ne surprendra — puis on trouve le chemin qui monte au sanctuaire arrière.
destinations.json::[23].highlights[0]	Hình tượng trang trí ấn tượng ở sân trước	Les figures ornementales frappantes de la cour avant
destinations.json::[23].highlights[1]	Hậu tẩm hai tầng độc đáo – view phố cổ có một không hai	Le sanctuaire arrière à deux niveaux, avec une vue unique sur la vieille ville
destinations.json::[24].name	Điểm tham quan trình nghề Xí Mà	La maison de démonstration du xí mà (soupe de sésame noir)
destinations.json::[24].description	Chè mè đen từng theo những gánh hàng rong đi khắp phố cổ từ sáng sớm. Ở điểm trình nghề, khách xem cách xay mè, nấu chè và nghe vì sao bát chè này vừa là món ăn vừa là thang thuốc.	La soupe de sésame noir parcourait la vieille ville dès l'aube, portée à la palanche. À la maison de démonstration, on voit moudre le sésame et cuire la soupe, et l'on entend pourquoi ce bol est à la fois un plat et un remède.
destinations.json::[24].quizBank[0].question	Thành phần nào sau đây không có trong chè Xí Mà?	Lequel de ces ingrédients n'entre pas dans le xí mà ?
destinations.json::[24].quizBank[0].options[0]	Thanh địa	La rehmannia
destinations.json::[24].quizBank[0].options[1]	Bột sắn	La fécule de manioc
destinations.json::[24].quizBank[0].options[2]	Rau má	Le centella
destinations.json::[24].quizBank[0].explain	Nguyên liệu chủ yếu để làm xí mà chính là mè đen, ngoài ra còn có các loại: bột khoai, thanh địa, rau má, rau mơ, và đường, những thứ này toàn là những nguyên liệu sẵn có của địa phương, duy chỉ có thanh địa là một vị thuốc của Đông y (thuốc Bắc) phải mua ở tiệm thuốc.	L'ingrédient principal du xí mà est le sésame noir ; s'y ajoutent farine de tubercule, rehmannia, centella, herbe-poisson et sucre. Tout se trouve sur place, sauf la rehmannia, remède de la pharmacopée chinoise qu'il faut acheter en officine.
destinations.json::[24].quizBank[1].question	Tên xí mà có nguồn gốc từ đâu?	D'où vient le nom xí mà ?
destinations.json::[24].quizBank[1].options[0]	Phương ngữ miền Trung	D'un parler du Centre
destinations.json::[24].quizBank[1].options[1]	Tiếng Nhật	Du japonais
destinations.json::[24].quizBank[1].options[2]	Tiếng Quảng Đông	Du cantonais
destinations.json::[24].quizBank[1].explain	Xí mà (đọc lệch từ "chí mà phù") là một từ có gốc từ tiếng Quảng Đông (Trung Quốc), dùng để chỉ món chè mè đen (súp mè đen xay nhuyễn). Chí mà có nghĩa là mè đen và phù có nghĩa là xay nhuyễn.	Xí mà est une déformation de « chí mà phù », mot venu du cantonais, qui désigne la soupe sucrée de sésame noir finement broyé : chí mà, le sésame noir, et phù, réduit en purée.
destinations.json::[24].short	Cơ hội học nấu món chè đặc trưng của Hội An khi đi du lịch	L'occasion, en voyage, d'apprendre à cuisiner la douceur emblématique de Hội An
destinations.json::[24].highlights[0]	Cách xay và nấu mè đen theo lối cũ	Comment on moud et cuit le sésame à l'ancienne
destinations.json::[24].highlights[1]	Các vị đi cùng mè đen: thanh địa, rau má, rau mơ	Ce qui l'accompagne : rehmannia, centella, herbe-poisson
destinations.json::[24].highlights[2]	Tự tay nấu và nếm một bát chè nóng	Cuire son bol soi-même et le goûter chaud
tours.json::[0].title	Vượt biển trèo non	Par-delà les mers et les monts
tours.json::[0].short	Hành trình của những người vượt biển đến Hội An	Le voyage de ceux qui ont traversé la mer jusqu'à Hội An
tours.json::[0].description	Từ chuyện 108 thương nhân bị xử oan đến khát khao những chuyến hải trình sóng yên biển lặng, chuyến đi khám phá trải nghiệm của những thương thuyền đến cảng thị Hội An đồng thời giới thiệu đặc trưng kiến trúc của các hội quán khác nhau của cộng đồng Hoa kiều.	Des 108 marchands injustement mis à mort au désir d'une mer calme à chaque traversée, cet itinéraire suit ce que les jonques marchandes ont rencontré avant d'atteindre le port de Hội An, et montre ce qui distingue l'architecture des différentes maisons de congrégation chinoises.
tours.json::[0].voucher	Voucher quà tặng (chốt tên sau)	Bon cadeau (nom à confirmer)
tours.json::[1].title	Một tấc lòng son	Un cœur de vermillon
tours.json::[1].short	Cuộc đời, sự nghiệp và tư tưởng của trí thức Hội An	La vie, la carrière et les idées des lettrés de Hội An
tours.json::[1].description	Dọc theo hành trình này, du khách sẽ khám phá cuộc đời, sự nghiệp và tư tưởng của các trí thức ở Hội An: từ tấm gương trung hiếu tiết nghĩa được đông đảo nho sĩ ở các vùng phía Nam Trung Hoa và khắp Việt Nam thờ phụng, cho đến quan lại thời nhà Nguyễn và thế hệ chí sĩ Duy Tân.	Le long de cet itinéraire, vous croisez la vie, la carrière et les idées des lettrés de Hội An : du modèle de loyauté et de droiture vénéré par les confucianistes du sud de la Chine et de tout le Viêt Nam, jusqu'aux mandarins de la cour des Nguyễn et à la génération réformatrice du Duy Tân.
tours.json::[1].voucher	Voucher quà tặng (chốt tên sau)	Bon cadeau (nom à confirmer)
tours.json::[2].title	Lạc tại nhân hòa	La joie est dans l'harmonie
tours.json::[2].short	Cuộc bộ hành khám phá sự đa dạng văn hoá của Hội An	Une marche à travers les cultures de Hội An
tours.json::[2].description	Bắt đầu từ văn hóa Nhật Bản, Trung Hoa cho tới truyền thống Việt Nam, tuyến đường này tôn vinh sự phong phú về văn hóa của Hội An, đồng thời thể hiện nét chan hòa, cởi mở đặc trưng của một phố cảng - nơi nhiều sắc thái văn hóa đồng hành và phát triển.	Des cultures japonaise et chinoise jusqu'à la tradition vietnamienne, cet itinéraire rend hommage à tout ce que Hội An porte, et à l'ouverture d'une ville portuaire où ces cultures ont vécu et grandi côte à côte.
tours.json::[2].voucher	Voucher quà tặng (chốt tên sau)	Bon cadeau (nom à confirmer)
tours.json::[3].title	Ngày vàng Phố Hội	L'âge d'or de Hội An
tours.json::[3].short	Khám phá một thời vàng son của cảng thị Hội An	Au cœur de l'âge d'or du port de Hội An
tours.json::[3].description	Hành trình khám phá nét phong phú trong văn hóa, sự trù phú do thiên nhiên ban tặng cùng hệ thống thương mại phát triển của Hội An. Tất cả tạo nên một cảng thị phồn vinh với những mặt hàng quý hiếm, đắt đỏ nhưng không làm mất đi sự giàu có trong tâm hồn người.	Une marche à travers la culture, les richesses naturelles et le réseau commercial qui ont fait la prospérité de Hội An : un port de marchandises rares et coûteuses qui n'a jamais bradé la richesse intérieure de ses habitants.
tours.json::[3].voucher	Voucher quà tặng (chốt tên sau)	Bon cadeau (nom à confirmer)
rewards.json::[0].title	Quà đầu tiên	Premier cadeau
rewards.json::[0].reward	Voucher 50.000đ của Vigift hoặc giảm 10% ở VAN•HOA	Bon Vigift de 50 000 ₫ ou 10 % de remise chez VAN•HOA
rewards.json::[1].title	Voucher lớn hơn	Un bon plus généreux
rewards.json::[1].reward	Voucher 100.000đ của Vigift hoặc giảm 15% ở VAN•HOA	Bon Vigift de 100 000 ₫ ou 15 % de remise chez VAN•HOA
rewards.json::[2].title	Món quà cầm tay	Un cadeau à emporter
rewards.json::[2].reward	Set charm DIY hoạ tiết Trung thu hoặc quạt Tuần lễ Sáng tạo Hội An	Kit de breloques DIY à motif de la fête de la Lune, ou l'éventail de la Semaine créative de Hội An
rewards.json::[3].title	Chiếc khăn Tuần lễ	Le foulard de la Semaine
rewards.json::[3].reward	Khăn Tuần lễ Sáng tạo Hội An	Le foulard de la Semaine créative de Hội An
rewards.json::[4].title	Quà lớn nhất	Le plus beau cadeau
rewards.json::[4].reward	Set quà Vigift Đà Nẵng	Le coffret Vigift Đà Nẵng
categories.json::[0].label	Di tích	Monument
categories.json::[1].label	Hội quán	Maison de congrégation
categories.json::[2].label	Nhà cổ	Maison ancienne
categories.json::[3].label	Bảo tàng	Musée
categories.json::[4].label	Trải nghiệm & trình diễn	Expérience & démonstration
ticket-points.json::[0].where	Bên trái Quảng trường sông Hoài, trên dọc đường Công Nữ Ngọc Hoa	À gauche de la place de la rivière Hoài, le long de la rue Công Nữ Ngọc Hoa
ticket-points.json::[1].where	Đầu đường Nguyễn Thị Minh Khai, gần chỗ con thuyền Nhật Bản, ngay chỗ bắt xe taxi - xe điện	À l'entrée de la rue Nguyễn Thị Minh Khai, près de la barque japonaise, à l'arrêt des taxis et voiturettes
ticket-points.json::[2].where	Đầu đường Nguyễn Phúc Chu	À l'entrée de la rue Nguyễn Phúc Chu
ticket-points.json::[3].where	Công viên Phan Châu Trinh	Le parc Phan Châu Trinh
ticket-points.json::[4].where	Cạnh chùa Cầu	À côté du pont couvert japonais
ticket-points.json::[5].where	Đầu cầu An Hội, bên Nguyễn Phúc Chu	À l'entrée du pont An Hội, côté Nguyễn Phúc Chu
ticket-points.json::[6].where	Trên đường Hai Bà Trưng, trước cổng chùa Bà Thiên Mụ	Rue Hai Bà Trưng, devant la porte de la pagode Bà Thiên Mụ
ticket-points.json::[7].where	Trên đường Lê Lợi, cạnh Đình Hội An	Rue Lê Lợi, à côté de la maison communale de Hội An
ticket-points.json::[8].where	Trên đường Hoàng Văn Thụ, ra bờ sông	Rue Hoàng Văn Thụ, vers la berge
ticket-points.json::[9].where	Góc đường Phan Châu Trinh - Nguyễn Huệ	Au croisement des rues Phan Châu Trinh et Nguyễn Huệ
ticket-points.json::[10].where	Điểm bán vé tại bãi xe Hoiango	Guichet du parking Hoiango
strings.js::explore	Khám phá	Explorer
strings.js::tours	Hành trình	Parcours
strings.js::passport	Sổ tay	Carnet
strings.js::all	Tất cả	Tout
strings.js::no_sites	Chưa có điểm đến.	Aucun lieu.
strings.js::directions	Chỉ đường	Itinéraire
strings.js::checkin	Check-in	Enregistrer
strings.js::locating	Đang định vị...	Localisation…
strings.js::retry	Thử lại	Réessayer
strings.js::back	Quay lại	Retour
strings.js::far	Quá xa. Hãy đến gần hơn.	Trop loin. Approchez-vous.
strings.js::geo_denied	Bật vị trí để check-in.	Activez la localisation pour vous enregistrer.
strings.js::allow_location	Bật vị trí	Activer la localisation
strings.js::geo_fail	Lỗi định vị. Thử lại ngoài trời.	Échec de la localisation. Réessayez dehors.
strings.js::continue_btn	Tiếp tục	Continuer
strings.js::correct_title	Chính xác	Correct
strings.js::wrong_title	Chưa đúng	Pas encore
strings.js::nav_start	Lên đường	C'est parti
strings.js::nav_here	Check-in tại đây	S'enregistrer ici
strings.js::continue_tour	Tiếp tục tuyến	Poursuivre le parcours
strings.js::nav_locate_prompt	Cần vị trí để dẫn đường	La localisation est nécessaire pour guider
strings.js::nav_enable	Bật định vị	Activer la localisation
strings.js::nav_done	Đã hoàn thành tuyến	Parcours terminé
strings.js::nav_exit	Thoát	Quitter
strings.js::nav_seepassport	Xem sổ tay	Voir le carnet
strings.js::checkin_done	Đã check-in và lưu tem.	Enregistré, tampon obtenu.
strings.js::route	Lộ trình	Itinéraire
strings.js::tour_extra	Còn thời gian thì ghé thêm	Si vous avez le temps
strings.js::plan	Gợi ý	Suggestions
strings.js::plan_title	Chọn điểm	Choisir les lieux
strings.js::plan_cta	Gợi ý 5 điểm	Proposer 5 lieux
strings.js::plan_scan	Quét vé để lưu	Scanner le billet pour enregistrer
strings.js::scan_btn	Quét vé	Scanner le billet
strings.js::scan_saved	Đã lưu vé.	Billet enregistré.
strings.js::scan_why	Bạn cần vé để nhận quà lớn hơn.	Un billet est nécessaire pour les plus gros cadeaux.
strings.js::scan_saved_short	Đã lưu vé	Billet enregistré
strings.js::see_detail	Xem chi tiết	Voir le détail
strings.js::buy_ticket	Mua vé ở đâu?	Où acheter un billet ?
strings.js::close_btn	Đóng	Fermer
strings.js::scan_point	Quét mã QR trên vé	Scannez le QR du billet
strings.js::scan_unsupported	Lỗi camera. Bật camera hoặc chọn điểm bên dưới.	Erreur de caméra. Activez-la ou choisissez ci-dessous.
strings.js::scan_bad_ticket	Mã không hợp lệ. Vui lòng quét vé Hội An.	Code invalide. Scannez un billet de Hội An.
strings.js::welcome_start	Tiếp tục	Continuer
strings.js::scan_title	Quét mã vé	Scanner le billet
strings.js::scan_skip	Bỏ qua, chọn điểm ngay	Passer et choisir directement
strings.js::terms_pre	Bạn đồng ý với 	Vous acceptez 
strings.js::terms_link	điều khoản sử dụng	les conditions d'utilisation
strings.js::terms_title	Điều khoản	Conditions
strings.js::guide_title	Cách chơi	Comment jouer
strings.js::perm_lead	Cho phép vị trí và chuyển động để tìm điểm đến phù hợp và dẫn đường.	Autorisez la localisation et le mouvement pour trouver les bons lieux et vous guider.
strings.js::study_agree	Tham gia nghiên cứu	Participer à l'étude
strings.js::feat_map	Khám phá 25 điểm di sản & tạo hành trình phù hợp	Explorer 25 sites patrimoniaux et composer son parcours
strings.js::feat_ticket	Check-in và nhận mắt cửa tại mỗi điểm	S'enregistrer sur place et recevoir le « mắt cửa », l'œil de porte
strings.js::feat_plan	Đổi mắt cửa và nhận quà	Échanger ses mắt cửa contre un cadeau
strings.js::perm_title	Vị trí và chuyển động	Localisation et mouvement
strings.js::your_ticket	Vé của bạn	Votre billet
strings.js::route_label	Tuyến của bạn	Votre parcours
strings.js::route_resume	Tiếp tục hành trình	Reprendre le parcours
strings.js::route_more	Xem thêm hành trình	Voir d'autres parcours
strings.js::route_empty	Chưa có tuyến. Chọn 5 điểm.	Pas encore de parcours. Choisissez 5 lieux.
strings.js::all_sites	Tất cả điểm đến	Tous les lieux
strings.js::r_higher	Đã đủ điểm	Palier atteint
strings.js::view_mode	Chế độ xem	Affichage
strings.js::view_list	Danh sách	Liste
strings.js::view_map	Bản đồ	Carte
strings.js::step_monument	Di tích	Monument
strings.js::step_museum	Bảo tàng	Musée
strings.js::step_free	3 điểm tự do	3 lieux au choix
strings.js::rec_head	Gợi ý tuyến	Parcours suggérés
strings.js::rec_badge	Đề xuất	Suggéré
strings.js::use_set	Chọn tuyến này	Choisir ce parcours
strings.js::pick_own	Tự chọn 5 điểm	Choisir mes 5 lieux
strings.js::reset_picks	Xóa hết	Tout effacer
strings.js::auto_pick	Chọn giúp tôi	Choisir pour moi
strings.js::pick_hint	Chạm để bắt đầu	Touchez pour commencer
strings.js::scroll_more	Thêm bộ lọc	Plus de filtres
strings.js::see_more	Xem thêm	Voir plus
strings.js::list_less	Thu gọn	Réduire
strings.js::pick_do	Chọn	Choisir
strings.js::pick_remove	Bỏ chọn	Retirer
strings.js::done_title	Hành trình của bạn	Votre parcours
strings.js::go_checkin	Lên đường	C'est parti
strings.js::edit_plan	Chọn lại	Modifier
strings.js::lang_switch	Ngôn ngữ (Language)	Langue
strings.js::set_complete	Đã hoàn thành bộ tem.	Série de tampons complète.
strings.js::tour_to_passport	Đã cộng điểm. Đổi quà trong Sổ tay.	Points ajoutés. Récupérez le cadeau dans le carnet.
strings.js::redeem_intro	Đưa màn hình này cho nhân viên để nhận quà.	Montrez cet écran au personnel.
strings.js::redeem_title	Đổi quà	Recevoir le cadeau
strings.js::redeem_none	Chưa có quà.	Pas encore de cadeau.
strings.js::needs_ticket_tag	Cần vé	Billet requis
strings.js::gift_ticket_hint	Quét mã QR vé để nhận.	Scannez le QR du billet pour l'obtenir.
strings.js::tk_check	Đối chiếu vé	Vérifier le billet
strings.js::tk_none	Chưa quét vé	Billet non scanné
strings.js::redeem_closed	Đổi quà tại quầy vé từ 28/8 đến 02/9.	Cadeaux à retirer aux guichets du 28/8 au 2/9.
strings.js::install	Cài ứng dụng	Installer l'app
strings.js::install_next	Đã hiểu	Compris
strings.js::install_now	Cài đặt ngay	Installer maintenant
strings.js::locate_me	Vị trí của tôi	Ma position
strings.js::reset_north	Hướng Bắc	Nord
strings.js::research_optin	Góp dữ liệu ẩn danh cho nghiên cứu: điểm ghé, thứ tự trong lượt thăm, vị trí thô. Không tên, không số máy, không nối giữa các lần dùng. Tắt được tại đây.	Données anonymes pour la recherche : lieux visités, ordre de la visite, position approximative. Aucun nom, aucun numéro, aucun lien entre deux visites. Désactivable ici à tout moment.
strings.js::study_note	Dữ liệu giúp ban tổ chức xem mật độ tại các điểm đến.	Ces données montrent aux organisateurs l'affluence sur chaque site.
strings.js::prev_site	Điểm trước	Lieu précédent
strings.js::next_site	Điểm sau	Lieu suivant
strings.js::booth_find	Quầy vé gần nhất	Guichet le plus proche
strings.js::flag_warn	Sổ tay có dấu hiệu bất thường. Xác nhận lại trước khi phát voucher.	Ce carnet présente des anomalies. Vérifiez avant de remettre le bon.
strings.js::points	điểm	points
strings.js::perfect_bonus	Đúng lần đầu	Juste du premier coup
strings.js::spotlight	Đề xuất	Suggéré
strings.js::rewards_title	Điểm & Quà	Points et cadeaux
strings.js::pp_more	Cài đặt	Réglages
strings.js::reward_taken	Đã nhận	Retiré
strings.js::one_gift_note	Mỗi sổ tay nhận 1 phần quà.	Un cadeau par carnet.
strings.js::score_how	Cách tính điểm	Comment les points se calculent
strings.js::pt_stamp	khi check-in	à chaque enregistrement
strings.js::pt_perfect	trả lời đúng ngay lần đầu	bonne réponse du premier coup
strings.js::pt_spotlight	ghé điểm vắng khách	visite d'un lieu peu fréquenté
strings.js::pt_tour	hoàn thành tuyến	parcours terminé
strings.js::backup_title	Sao lưu	Sauvegarde
strings.js::backup_hint	Lưu mã bên dưới để khôi phục tem khi đổi thiết bị.	Gardez ce code pour retrouver vos tampons sur un autre appareil.
strings.js::copy	Sao chép	Copier
strings.js::copied	Đã sao chép	Copié
strings.js::copy_link	Sao chép link	Copier le lien
strings.js::restore	Khôi phục	Restaurer
strings.js::restore_or_code	Nhập mã 8 ký tự:	Saisissez le code à 8 caractères :
strings.js::ticket_taken	Vé đã quét ở thiết bị khác. Quét lại để lấy dữ liệu.	Ce billet a été scanné sur un autre appareil. Rescannez pour récupérer les données.
strings.js::restore_ok	Đã khôi phục.	Restauré.
strings.js::restore_bad	Mã phải có 8 ký tự.	Le code doit compter 8 caractères.
strings.js::restore_offline	Lỗi mạng. Thử lại sau.	Erreur réseau. Réessayez plus tard.
strings.js::offline_ok	Vẫn có thể check-in offline. Ứng dụng sẽ đồng bộ khi có mạng.	L'enregistrement marche hors ligne ; la synchro se fait au retour du réseau.
strings.js::ticket_points	Điểm bán vé	Guichets
strings.js::popup_detail	Xem & check-in	Voir et s'enregistrer
strings.js::dont_miss	Đừng bỏ lỡ	À ne pas manquer
strings.js::open_now	Đang mở	Ouvert
strings.js::closed_now	Đã đóng	Fermé
strings.js::nav_arrived_at()	Đã đến {name}	Arrivé à {name}
strings.js::nav_to()	{dist} tới {name}	{dist} jusqu'à {name}
strings.js::question_of()	Câu {i}/{n}	Question {i}/{n}
strings.js::stops()	{n} điểm dừng	{n} étapes
strings.js::walk_time()	{m} phút đi bộ	{m} min à pied
strings.js::route_walk()	{d} · {m} phút đi bộ	{d} · {m} min à pied
strings.js::list_more()	Xem thêm {n} điểm	Voir {n} lieux de plus
strings.js::tk_sites()	Vé {n} điểm	Billet {n} sites
strings.js::wrong_wait()	Sai. Thử lại sau {n}s.	Faux. Réessayez dans {n} s.
strings.js::booth_nearest()	Quầy {name} · cách {d}	Guichet {name} · {d}
strings.js::earned()	+{n} điểm	+{n} points
strings.js::spotlight_hint()	Check-in tại đây nhận +{n} điểm.	Enregistrez-vous ici : +{n} points.
strings.js::pts_more()	Cần thêm {n} điểm	Encore {n} points
strings.js::reward_at()	Mốc {n} điểm	Palier {n} points
strings.js::pt_all()	check-in đủ {n} điểm	enregistrer les {n} sites
strings.js::walk()	{d} · {m} phút đi bộ	{d} · {m} min à pied
strings.js::closing_soon()	Đóng trong {m} phút	Ferme dans {m} min
strings.js::opens_at()	Mở lúc {t}	Ouvre à {t}
