path	vi	zh
tours.json::[3].short	Khám phá một thời vàng son của cảng thị Hội An	走进会安港的鼎盛时期
tours.json::[3].description	Hành trình khám phá nét phong phú trong văn hóa, sự trù phú do thiên nhiên ban tặng cùng hệ thống thương mại phát triển của Hội An. Tất cả tạo nên một cảng thị phồn vinh với những mặt hàng quý hiếm, đắt đỏ nhưng không làm mất đi sự giàu có trong tâm hồn người.	沿着让会安富足的文化、自然物产与商贸网络走一趟。这是一座珍稀而昂贵货物往来的港口，却从未把人心里的富足一并卖掉。
tours.json::[3].voucher	Voucher quà tặng (chốt tên sau)	礼品代金券（名称待定）
rewards.json::[0].title	Quà đầu tiên	第一份礼物
rewards.json::[0].reward	Voucher 50.000đ của Vigift hoặc giảm 10% ở VAN•HOA	Vigift 50,000 越南盾代金券，或 VAN•HOA 九折优惠
rewards.json::[1].title	Voucher lớn hơn	更大的代金券
rewards.json::[1].reward	Voucher 100.000đ của Vigift hoặc giảm 15% ở VAN•HOA	Vigift 100,000 越南盾代金券，或 VAN•HOA 85折优惠
rewards.json::[2].title	Món quà cầm tay	可以带走的礼物
rewards.json::[2].reward	Set charm DIY hoạ tiết Trung thu hoặc quạt Tuần lễ Sáng tạo Hội An	中秋图案 DIY 挂饰套装，或会安创意周折扇
rewards.json::[3].title	Chiếc khăn Tuần lễ	创意周围巾
rewards.json::[3].reward	Khăn Tuần lễ Sáng tạo Hội An	会安创意周围巾
rewards.json::[4].title	Quà lớn nhất	最大的礼物
rewards.json::[4].reward	Set quà Vigift Đà Nẵng	Vigift 岘港礼盒
categories.json::[0].label	Di tích	古迹
categories.json::[1].label	Hội quán	会馆
categories.json::[2].label	Nhà cổ	古宅
categories.json::[3].label	Bảo tàng	博物馆
categories.json::[4].label	Trải nghiệm & trình diễn	体验与展演
ticket-points.json::[0].where	Bên trái Quảng trường sông Hoài, trên dọc đường Công Nữ Ngọc Hoa	怀河广场左侧，沿 Công Nữ Ngọc Hoa 街
ticket-points.json::[1].where	Đầu đường Nguyễn Thị Minh Khai, gần chỗ con thuyền Nhật Bản, ngay chỗ bắt xe taxi - xe điện	Nguyễn Thị Minh Khai 街口，靠近日本船模型，就在出租车与电瓶车候车处
ticket-points.json::[2].where	Đầu đường Nguyễn Phúc Chu	Nguyễn Phúc Chu 街口
ticket-points.json::[3].where	Công viên Phan Châu Trinh	Phan Châu Trinh 公园
ticket-points.json::[4].where	Cạnh chùa Cầu	来远桥旁
ticket-points.json::[5].where	Đầu cầu An Hội, bên Nguyễn Phúc Chu	安会桥桥头，Nguyễn Phúc Chu 一侧
ticket-points.json::[6].where	Trên đường Hai Bà Trưng, trước cổng chùa Bà Thiên Mụ	Hai Bà Trưng 街，天姥寺门前
ticket-points.json::[7].where	Trên đường Lê Lợi, cạnh Đình Hội An	Lê Lợi 街，会安亭旁
ticket-points.json::[8].where	Trên đường Hoàng Văn Thụ, ra bờ sông	Hoàng Văn Thụ 街，往河岸方向
ticket-points.json::[9].where	Góc đường Phan Châu Trinh - Nguyễn Huệ	Phan Châu Trinh 街与 Nguyễn Huệ 街路口
ticket-points.json::[10].where	Điểm bán vé tại bãi xe Hoiango	Hoiango 停车场售票点
strings.js::explore	Khám phá	探索
strings.js::tours	Hành trình	路线
strings.js::passport	Sổ tay	手账
strings.js::resonance_30	30 địa điểm cộng hưởng	30 处共鸣场所
strings.js::all	Tất cả	全部
strings.js::no_sites	Chưa có điểm đến.	暂无地点。
strings.js::directions	Chỉ đường	导航
strings.js::checkin	Check-in	打卡
strings.js::locating	Đang định vị...	正在定位…
strings.js::retry	Thử lại	重试
strings.js::back	Quay lại	返回
strings.js::far	Quá xa. Hãy đến gần hơn.	距离太远，请再走近一些。
strings.js::geo_denied	Bật vị trí để check-in.	请开启定位后打卡。
strings.js::allow_location	Bật vị trí	开启定位
strings.js::geo_fail	Lỗi định vị. Thử lại ngoài trời.	定位失败，请到室外再试。
strings.js::continue_btn	Tiếp tục	继续
strings.js::correct_title	Chính xác	答对了
strings.js::wrong_title	Chưa đúng	还不对
strings.js::nav_start	Lên đường	出发
strings.js::nav_here	Check-in tại đây	在此打卡
strings.js::continue_tour	Tiếp tục tuyến	继续路线
strings.js::nav_locate_prompt	Cần vị trí để dẫn đường	导航需要定位
strings.js::nav_enable	Bật định vị	开启定位
strings.js::nav_done	Đã hoàn thành tuyến	已走完路线
strings.js::nav_exit	Thoát	退出
strings.js::nav_seepassport	Xem sổ tay	查看手账
strings.js::checkin_done	Đã check-in và lưu tem.	打卡成功，已收到印章。
strings.js::route	Lộ trình	路线
strings.js::tour_extra	Còn thời gian thì ghé thêm	有时间还可以去
strings.js::plan	Gợi ý	推荐
strings.js::plan_title	Chọn điểm	选择地点
strings.js::plan_cta	Gợi ý 5 điểm	推荐 5 处
strings.js::plan_scan	Quét vé để lưu	扫描门票以保存
strings.js::scan_btn	Quét vé	扫描门票
strings.js::scan_saved	Đã lưu vé.	门票已保存。
strings.js::scan_why	Bạn cần vé để nhận quà lớn hơn.	要领更大的礼物需要门票。
strings.js::scan_saved_short	Đã lưu vé	门票已保存
strings.js::see_detail	Xem chi tiết	查看详情
strings.js::buy_ticket	Mua vé ở đâu?	门票在哪里买？
strings.js::close_btn	Đóng	关闭
strings.js::scan_point	Quét mã QR trên vé	扫描门票上的二维码
strings.js::scan_unsupported	Lỗi camera. Bật camera hoặc chọn điểm bên dưới.	相机出错。请开启相机，或在下方直接选择。
strings.js::scan_bad_ticket	Mã không hợp lệ. Vui lòng quét vé Hội An.	二维码无效，请扫描会安门票。
strings.js::welcome_start	Tiếp tục	继续
strings.js::scan_title	Quét mã vé	扫描门票
strings.js::scan_skip	Bỏ qua, chọn điểm ngay	跳过，直接选地点
strings.js::terms_pre	Bạn đồng ý với 	您同意
strings.js::terms_link	điều khoản sử dụng	使用条款
strings.js::terms_title	Điều khoản	使用条款
strings.js::guide_title	Cách chơi	玩法
strings.js::perm_lead	Cho phép vị trí và chuyển động để tìm điểm đến phù hợp và dẫn đường.	请允许使用定位与运动数据，以便为你找到合适的地点并导航。
strings.js::perm_lead2	Chúng tôi xin phép thu thập dữ liệu ẩn danh để thực hiện nghiên cứu về phát triển du lịch Hội An.	我们也想请您允许收集匿名数据，用于会安旅游发展研究。
strings.js::study_agree	Tham gia nghiên cứu	参与研究
strings.js::feat_map	Khám phá 25 điểm di sản & tạo hành trình phù hợp	探索 25 处遗产地，规划合适的路线
strings.js::feat_ticket	Check-in và nhận mắt cửa tại mỗi điểm	在每处打卡，收集“门眼”印章
strings.js::feat_plan	Đổi mắt cửa và nhận quà	用“门眼”兑换礼物
strings.js::perm_title	Vị trí và chuyển động	定位与运动
strings.js::your_ticket	Vé của bạn	我的门票
strings.js::route_label	Tuyến của bạn	我的路线
strings.js::route_resume	Tiếp tục hành trình	继续行程
strings.js::route_more	Xem thêm hành trình	查看更多路线
strings.js::route_empty	Chưa có tuyến. Chọn 5 điểm.	还没有路线，先选 5 处吧。
strings.js::all_sites	Tất cả điểm đến	所有地点
strings.js::r_higher	Đã đủ điểm	分数已达标
strings.js::view_mode	Chế độ xem	查看方式
strings.js::view_list	Danh sách	列表
strings.js::view_map	Bản đồ	地图
strings.js::step_monument	Di tích	古迹
strings.js::step_museum	Bảo tàng	博物馆
strings.js::step_free	3 điểm tự do	自选 3 处
strings.js::rec_head	Gợi ý tuyến	推荐路线
strings.js::rec_badge	Đề xuất	推荐
strings.js::use_set	Chọn tuyến này	选择这条路线
strings.js::pick_own	Tự chọn 5 điểm	自己选 5 处
strings.js::reset_picks	Xóa hết	全部清除
strings.js::auto_pick	Chọn giúp tôi	帮我选
strings.js::pick_hint	Chạm để bắt đầu	轻触开始
strings.js::scroll_more	Thêm bộ lọc	更多筛选
strings.js::see_more	Xem thêm	展开
strings.js::list_less	Thu gọn	收起
strings.js::pick_do	Chọn	选择
strings.js::pick_remove	Bỏ chọn	取消选择
strings.js::done_title	Hành trình của bạn	你的行程
strings.js::go_checkin	Lên đường	出发
strings.js::edit_plan	Chọn lại	重新选择
strings.js::lang_switch	Ngôn ngữ (Language)	语言 (Language)
strings.js::set_complete	Đã hoàn thành bộ tem.	印章已收集齐全。
strings.js::tour_to_passport	Đã cộng điểm. Đổi quà trong Sổ tay.	分数已加。请在手账中兑换礼物。
strings.js::redeem_intro	Đưa màn hình này cho nhân viên để nhận quà.	请把此页面出示给工作人员。
strings.js::redeem_title	Đổi quà	兑换礼物
strings.js::redeem_none	Chưa có quà.	还没有可兑换的礼物。
strings.js::needs_ticket_tag	Cần vé	需门票
strings.js::gift_ticket_hint	Quét mã QR vé để nhận.	扫描门票二维码即可领取。
strings.js::tk_check	Đối chiếu vé	核对门票
strings.js::tk_none	Chưa quét vé	未扫描门票
strings.js::redeem_closed	Đổi quà tại quầy vé từ 28/8 đến 02/9.	礼物于 8月28日至9月2日在售票点兑换。
strings.js::install	Cài ứng dụng	安装应用
strings.js::install_next	Đã hiểu	知道了
strings.js::install_ios_1	Safari: chạm nút Chia sẻ (mũi tên đi lên) ở thanh dưới.	Safari：点按底部工具栏的“分享”按钮（向上箭头）。
strings.js::install_ios_2	Kéo xuống cuối, chọn "Thêm vào Màn hình chính".	向下滑到底部，选择“添加到主屏幕”。
strings.js::install_android_1	Chrome: chạm nút ba chấm ở bên phải thanh địa chỉ.	Chrome：点按地址栏右侧的三点按钮。
strings.js::install_android_2	Chọn "Cài đặt và tạo lối tắt".	选择“安装应用”或“添加到主屏幕”。
strings.js::install_now	Cài đặt ngay	立即安装
strings.js::locate_me	Vị trí của tôi	我的位置
strings.js::reset_north	Hướng Bắc	正北
strings.js::research_optin	Góp dữ liệu ẩn danh cho nghiên cứu: điểm ghé, thứ tự trong lượt thăm, vị trí thô. Không tên, không số máy, không nối giữa các lần dùng. Tắt được tại đây.	为研究提供匿名数据：到访地点、当次的先后顺序、粗略位置。不含姓名与手机号，也不会把不同次的使用串联起来。可随时在此关闭。
strings.js::study_note	Dữ liệu giúp ban tổ chức xem mật độ tại các điểm đến.	这些数据帮助主办方了解各地点的人流密度。
strings.js::prev_site	Điểm trước	上一处
strings.js::next_site	Điểm sau	下一处
strings.js::booth_find	Quầy vé gần nhất	最近的售票点
strings.js::flag_warn	Sổ tay có dấu hiệu bất thường. Xác nhận lại trước khi phát voucher.	该手账有异常迹象。发放代金券前请再核对。
strings.js::points	điểm	分
strings.js::perfect_bonus	Đúng lần đầu	一次答对
strings.js::spotlight	Đề xuất	推荐
strings.js::rewards_title	Điểm & Quà	分数与礼物
strings.js::pp_more	Cài đặt	设置
strings.js::reward_taken	Đã nhận	已领取
strings.js::one_gift_note	Mỗi sổ tay nhận 1 phần quà.	每个手账限领 1 份礼物。
strings.js::score_how	Cách tính điểm	分数怎么算
strings.js::pt_stamp	khi check-in	打卡时
strings.js::pt_perfect	trả lời đúng ngay lần đầu	一次答对
strings.js::pt_spotlight	ghé điểm vắng khách	到访人少的地点
strings.js::pt_tour	hoàn thành tuyến	走完一条路线
strings.js::backup_title	Sao lưu	备份
strings.js::backup_hint	Lưu mã bên dưới để khôi phục tem khi đổi thiết bị.	换设备时用下面的代码恢复印章，请保存好。
strings.js::copy	Sao chép	复制
strings.js::copied	Đã sao chép	已复制
strings.js::copy_link	Sao chép link	复制链接
strings.js::restore	Khôi phục	恢复
strings.js::restore_or_code	Nhập mã 8 ký tự:	输入 8 位代码：
strings.js::ticket_taken	Vé đã quét ở thiết bị khác. Quét lại để lấy dữ liệu.	该门票已在其他设备扫描。重新扫描即可取回数据。
strings.js::restore_ok	Đã khôi phục.	已恢复。
strings.js::restore_bad	Mã phải có 8 ký tự.	代码必须是 8 位。
strings.js::restore_offline	Lỗi mạng. Thử lại sau.	网络出错，请稍后再试。
strings.js::offline_ok	Vẫn có thể check-in offline. Ứng dụng sẽ đồng bộ khi có mạng.	离线也能打卡，联网后会自动同步。
strings.js::ticket_points	Điểm bán vé	售票点
strings.js::popup_detail	Xem & check-in	查看并打卡
strings.js::dont_miss	Đừng bỏ lỡ	别错过
strings.js::open_now	Đang mở	开放中
strings.js::closed_now	Đã đóng	已关闭
strings.js::nav_arrived_at()	Đã đến {name}	已到达 ${name}
strings.js::nav_to()	{dist} tới {name}	距 ${name} ${dist}
strings.js::question_of()	Câu {i}/{n}	第 ${i}/${n} 题
strings.js::stops()	{n} điểm dừng	${n} 个站点
strings.js::walk_time()	{m} phút đi bộ	步行 ${m} 分钟
strings.js::route_walk()	{d} · {m} phút đi bộ	${d} · 步行 ${m} 分钟
strings.js::list_more()	Xem thêm {n} điểm	再看 ${n} 处
strings.js::tk_sites()	Vé {n} điểm	${n} 处门票
strings.js::wrong_wait()	Sai. Thử lại sau {n}s.	答错了。${n} 秒后再试。
strings.js::booth_nearest()	Quầy {name} · cách {d}	${name} 售票点 · ${d}
strings.js::earned()	+{n} điểm	+${n} 分
strings.js::spotlight_hint()	Check-in tại đây nhận +{n} điểm.	在此打卡可得 +${n} 分。
strings.js::pts_more()	Cần thêm {n} điểm	还需 ${n} 分
strings.js::reward_at()	Mốc {n} điểm	${n} 分档
strings.js::pt_all()	check-in đủ {n} điểm	打卡全部 ${n} 处
strings.js::walk()	{d} · {m} phút đi bộ	${d} · 步行 ${m} 分钟
strings.js::closing_soon()	Đóng trong {m} phút	${m} 分钟后关闭
strings.js::opens_at()	Mở lúc {t}	${t} 开放
